Client,Validation Accuracy
client 1,0.963100
client 1,0.966300
client 1,0.938500
client 1,0.928900
client 1,0.964100
client 1,0.944200
client 1,0.911000
client 1,0.964700
client 1,0.967900
client 1,0.969000
client 1,0.961900
client 1,0.963800
client 1,0.963100
client 1,0.935400
client 1,0.935400
client 2,0.937800
client 2,0.964400
client 2,0.898500
client 3,0.965900
client 3,0.964800
client 3,0.956500
client 3,0.953100
client 3,0.968000
client 3,0.948000
client 3,0.958500
client 3,0.927100
client 3,0.935600
client 3,0.961900
client 3,0.960900
client 3,0.964700
client 5,0.960900
client 5,0.964200
client 5,0.958800
client 5,0.936300
client 5,0.936300
client 5,0.941200
client 5,0.961300
client 5,0.955500
client 5,0.928400
client 5,0.936200
client 5,0.961800
client 5,0.941400
client 5,0.962100
client 5,0.960200
client 5,0.960200
