User,Train Accuracy,Validation Accuracy,Timestamp
user 2,0.43706666666666666,0.9472,2024-10-13 20:41:49
user 3,0.4493333333333333,0.9256,2024-10-13 23:14:12
user 1,0.7105333333333334,0.9597,2024-10-14 00:32:13
user 2,0.42063333333333336,0.9361,2024-10-15 11:13:22
user 3,0.6306666666666667,0.9528,2024-10-15 12:49:53
user 1,0.6313333333333333,0.9596,2024-10-15 14:09:34
user 3,0.3873666666666667,0.9374,2024-10-15 15:49:55
user 2,0.6349666666666667,0.9496,2024-10-15 17:08:54
user 1,0.7411833333333333,0.9649,2024-10-15 18:27:29
user 3,0.40235,0.9328,2024-10-16 09:49:22
user 2,0.56985,0.9479,2024-10-16 11:34:24
user 1,0.64615,0.9622,2024-10-16 13:06:41
user 2,0.32211666666666666,0.9261,2024-10-16 16:21:36
user 3,0.5926333333333333,0.9507,2024-10-16 18:01:36
user 1,0.7049333333333333,0.96,2024-10-16 19:35:45
user 1,0.47941666666666666,0.9415,2024-10-16 22:33:46
user 1,0.40135,0.9374,2024-10-17 13:22:21
user 3,0.4368666666666667,0.9326,2024-10-17 18:09:58
user 1,0.6664,0.9607,2024-10-17 19:23:39
user 3,0.32208333333333333,0.9076,2024-10-18 21:07:36
user 1,0.4257166666666667,0.9457,2024-10-19 14:06:12
user 1,0.26863333333333334,0.8853,2024-10-19 16:48:57
user 3,0.4080666666666667,0.9474,2024-10-19 18:11:57
user 2,0.6347166666666667,0.9565,2024-10-19 19:23:30
user 1,0.7196166666666667,0.9644,2024-10-19 20:31:04
user 3,0.3792,0.9352,2024-10-22 08:50:31
user 2,0.66545,0.9673,2024-10-22 10:18:46
user 1,0.70975,0.9671,2024-10-22 11:42:35
user 2,0.34163333333333334,0.9103,2024-10-23 00:41:55
user 3,0.36193333333333333,0.9258,2024-10-23 13:07:36
user 2,0.5893833333333334,0.9535,2024-10-23 14:24:42
user 1,0.7268166666666667,0.9632,2024-10-23 15:52:50
user 1,0.42478333333333335,0.9421,2024-10-23 19:47:20
user 4,0.38943333333333335,934,2024-10-24 14:58:41
user 2,0.41176666666666667,0.9385,2024-10-24 19:31:24
user 3,0.63,0.9549,2024-10-24 20:46:59
user 1,0.7446166666666667,0.9599,2024-10-24 22:01:33
user 2,0.3855166666666667,0.9053,2024-10-25 13:39:44
user 1,0.6089333333333333,0.9584,2024-10-25 14:55:42
user 1,0.41023333333333334,0.928,2024-10-25 19:26:38
user 2,0.3736333333333333,0.9362,2024-10-25 20:59:06
user 3,0.6346666666666667,0.9562,2024-10-25 22:19:50
user 1,0.7214333333333334,0.9643,2024-10-25 23:40:01
user 2,0.38043333333333335,0.9311,2024-10-26 09:28:08
user 1,0.6702666666666667,0.9603,2024-10-26 11:20:50
user 3,0.3735833333333333,0.9307,2024-10-26 14:36:34
user 1,0.61275,0.9393,2024-10-26 15:52:44
user 2,0.3725333333333333,0.9317,2024-10-26 20:54:34
user 2,0.41788333333333333,0.9347,2024-10-27 13:32:38
user 3,0.6639333333333334,0.959,2024-10-27 14:50:35
user 1,0.70265,0.9664,2024-10-27 16:19:06
user 5,0.40965,0.935,2024-10-27 22:49:46
user 2,0.6364833333333333,0.9586,2024-10-28 00:06:52
user 1,0.73235,0.9605,2024-10-28 01:25:05
user 1,0.2841666666666667,0.9058,2024-10-28 14:59:51
user 3,0.43155,0.946,2024-10-28 17:40:24
user 1,0.6082166666666666,0.9568,2024-10-28 19:03:22
user 1,0.43596666666666667,0.9383,2024-10-28 22:01:18
user 3,0.3825,0.9251,2024-10-29 13:14:32
user 2,0.5784333333333334,0.9506,2024-10-29 14:37:35
user 1,0.6899,0.9559,2024-10-29 16:05:49
