User,Train Accuracy,Validation Accuracy,Timestamp
user 1,0.35531666666666667,0.9347,2024-10-02 12:02:11
user 2,0.36641666666666667,0.9334,2024-10-02 13:39:27
user 4,0.6728333333333333,0.9555,2024-10-02 15:01:12
user 3,0.6948,0.9563,2024-10-02 16:24:22
user 5,0.7509166666666667,0.9716,2024-10-02 17:47:17
user 1,0.7753333333333333,0.9651,2024-10-02 19:23:44
user 5,0.33205,0.9114,2024-10-02 23:25:44
user 2,0.6577333333333333,0.9557,2024-10-03 00:40:35
user 3,0.6758333333333333,0.9602,2024-10-03 01:54:43
user 1,0.7129166666666666,0.9653,2024-10-03 03:09:02
user 2,0.3516166666666667,0.9302,2024-10-03 12:09:58
user 1,0.6373166666666666,0.9601,2024-10-03 13:44:53
user 1,0.4391833333333333,0.9442,2024-10-03 18:37:34
user 2,0.35751666666666665,0.9335,2024-10-03 20:13:35
user 6,0.6288,0.9585,2024-10-03 21:36:32
user 3,0.7627333333333334,0.9662,2024-10-03 23:05:02
user 1,0.7152833333333334,0.9668,2024-10-04 00:29:21
