User,EnergyConsumption
125.49,833.873
100.67,938.485
96.54,1122.53
87.12,396.55
64.88,744.972
116.1,1093.17
58.45,856.057
20.92,760.909
145.77,945.96
146.08,1580.56
125.49,754.702
100.67,104.738
96.54,782.718
87.12,1004.14
64.88,780.82
116.1,1467.56
58.45,1011.3
20.92,40.9319
145.77,1260.4
146.08,1107.59
125.49,390.713
100.67,791.114
96.54,734.346
87.12,1107.7
64.88,724.693
116.1,107.078
58.45,1379.49
20.92,673.561
145.77,99.4558
146.08,1016.43
125.49,1242.66
100.67,510.93
96.54,1305.68
87.12,1271.16
64.88,798.162
116.1,896.771
58.45,182.543
20.92,801.43
145.77,325.905
146.08,1030.97
125.49,1066.39
100.67,1108.64
96.54,42.0485
87.12,977.613
64.88,395.181
116.1,989.285
58.45,1515.49
20.92,866.409
145.77,832.963
146.08,1020.54
125.49,864.581
100.67,1275.7
96.54,822.467
87.12,960.189
64.88,656.619
116.1,1556.49
58.45,1891.63
20.92,271.984
145.77,141.419
146.08,459.42
125.49,607.245
100.67,1491.09
96.54,1081.47
87.12,750.73
64.88,1427.27
116.1,85.6057
58.45,1800.15
20.92,1663.45
145.77,878.982
146.08,740.522
125.49,702.019
100.67,144.334
96.54,1248.33
87.12,786.137
64.88,112.917
116.1,220.919
58.45,1108.52
20.92,467.2
145.77,640.732
146.08,411.835
125.49,607.893
100.67,17.2065
96.54,1660.42
87.12,109.522
64.88,724.183
116.1,842.72
58.45,660.314
20.92,1720.97
145.77,1121.94
146.08,70.4917
125.49,1077.86
100.67,862.293
96.54,670.014
87.12,788.842
64.88,1084.1
116.1,1545.64
58.45,18.0236
20.92,1099.66
145.77,1252.83
146.08,483.324
125.49,1019.03
100.67,363.121
96.54,247.438
87.12,1146.73
64.88,1102.8
116.1,564.953
58.45,303.163
20.92,823.661
145.77,332.372
146.08,301.157
125.49,923.226
100.67,679.023
96.54,935.979
87.12,66.0065
64.88,238.501
116.1,631.207
58.45,1593.25
20.92,1540.49
145.77,545.79
146.08,1430.19
125.49,1144.92
100.67,1097.11
96.54,264.54
87.12,249.491
64.88,1066.59
116.1,1256.17
58.45,60.0865
20.92,959.514
145.77,711.61
146.08,260.489
125.49,1119.64
100.67,539.816
96.54,159.814
87.12,1211.43
64.88,893.268
116.1,310.016
58.45,1116.46
20.92,362.361
145.77,129.017
146.08,234.921
125.49,1327.67
100.67,840.574
96.54,851.147
87.12,654.666
64.88,1271.21
116.1,1495.32
58.45,594.398
20.92,1025.37
145.77,222.209
146.08,603.999
125.49,637.096
100.67,1909.15
96.54,192.405
87.12,229.463
64.88,1308.7
116.1,1368.18
58.45,398.147
20.92,1121.03
145.77,918.93
146.08,2022.72
125.49,832.759
100.67,1084.48
96.54,1243.8
87.12,1412.69
64.88,674.981
116.1,1833.87
58.45,1071.28
20.92,653.948
145.77,1222.96
146.08,447.49
125.49,1227.94
100.67,959.034
96.54,20.3675
87.12,12.0902
64.88,86.6543
116.1,1110.59
58.45,1656.01
20.92,596.123
145.77,516.589
146.08,705.891
125.49,575.641
100.67,732.862
96.54,1011.12
87.12,577.976
64.88,1073.37
116.1,447.766
58.45,488.363
20.92,800.378
145.77,801.184
146.08,167.644
125.49,1816.46
100.67,279.507
96.54,485.61
87.12,73.9576
64.88,606.079
116.1,930.165
58.45,1387.62
20.92,1083.4
145.77,459.341
146.08,1134.95
