User,EnergyConsumption
1,833.873
2,938.485
3,1122.53
4,396.55
5,744.972
6,1093.17
7,856.057
8,760.909
9,945.96
10,1580.56
1,754.702
2,104.738
3,782.718
4,1004.14
5,780.82
6,1467.56
7,1011.3
8,40.9319
9,1260.4
10,1107.59
1,390.713
2,791.114
3,734.346
4,1107.7
5,724.693
6,107.078
7,1379.49
8,673.561
9,99.4558
10,1016.43
1,1242.66
2,510.93
3,1305.68
4,1271.16
5,798.162
6,896.771
7,182.543
8,801.43
9,325.905
10,1030.97
1,1066.39
2,1108.64
3,42.0485
4,977.613
5,395.181
6,989.285
7,1515.49
8,866.409
9,832.963
10,1020.54
1,864.581
2,1275.7
3,822.467
4,960.189
5,656.619
6,1556.49
7,1891.63
8,271.984
9,141.419
10,459.42
1,607.245
2,1491.09
3,1081.47
4,750.73
5,1427.27
6,85.6057
7,1800.15
8,1663.45
9,878.982
10,740.522
1,702.019
2,144.334
3,1248.33
4,786.137
5,112.917
6,220.919
7,1108.52
8,467.2
9,640.732
10,411.835
1,607.893
2,17.2065
3,1660.42
4,109.522
5,724.183
6,842.72
7,660.314
8,1720.97
9,1121.94
10,70.4917
1,1077.86
2,862.293
3,670.014
4,788.842
5,1084.1
6,1545.64
7,18.0236
8,1099.66
9,1252.83
10,483.324
1,1019.03
2,363.121
3,247.438
4,1146.73
5,1102.8
6,564.953
7,303.163
8,823.661
9,332.372
10,301.157
1,923.226
2,679.023
3,935.979
4,66.0065
5,238.501
6,631.207
7,1593.25
8,1540.49
9,545.79
10,1430.19
1,1144.92
2,1097.11
3,264.54
4,249.491
5,1066.59
6,1256.17
7,60.0865
8,959.514
9,711.61
10,260.489
1,1119.64
2,539.816
3,159.814
4,1211.43
5,893.268
6,310.016
7,1116.46
8,362.361
9,129.017
10,234.921
1,1327.67
2,840.574
3,851.147
4,654.666
5,1271.21
6,1495.32
7,594.398
8,1025.37
9,222.209
10,603.999
1,637.096
2,1909.15
3,192.405
4,229.463
5,1308.7
6,1368.18
7,398.147
8,1121.03
9,918.93
10,2022.72
1,832.759
2,1084.48
3,1243.8
4,1412.69
5,674.981
6,1833.87
7,1071.28
8,653.948
9,1222.96
10,447.49
1,1227.94
2,959.034
3,20.3675
4,12.0902
5,86.6543
6,1110.59
7,1656.01
8,596.123
9,516.589
10,705.891
1,575.641
2,732.862
3,1011.12
4,577.976
5,1073.37
6,447.766
7,488.363
8,800.378
9,801.184
10,167.644
1,1816.46
2,279.507
3,485.61
4,73.9576
5,606.079
6,930.165
7,1387.62
8,1083.4
9,459.341
10,1134.95
