User,Jitter
125.49,0.113095
100.67,0.362276
96.54,0.374203
87.12,0.374203
64.88,1.18e-07
116.1,0.0
58.45,0.0
20.92,0.000636403
145.77,2.60179e-05
146.08,0.248519
125.49,0.208367
100.67,0.0
96.54,0.241729
87.12,0.0313934
64.88,1.18e-07
116.1,0.00045343
58.45,0.00045343
20.92,0.0
145.77,0.0
146.08,0.208367
125.49,0.0
100.67,0.320545
96.54,0.320545
87.12,0.0
64.88,0.282568
116.1,0.282568
58.45,0.359686
20.92,0.359686
145.77,0.000558003
146.08,0.000558003
125.49,0.220445
100.67,0.0
96.54,0.190862
87.12,0.190862
64.88,1.18e-07
116.1,0.0
58.45,0.362435
20.92,0.0890779
145.77,0.272877
146.08,0.219965
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,1.18e-07
116.1,0.174045
58.45,0.173458
20.92,0.000587003
145.77,0.0
146.08,0.0
125.49,0.240384
100.67,0.240384
96.54,0.136202
87.12,0.00288181
64.88,1.18e-07
116.1,0.0
58.45,0.353609
20.92,0.353609
145.77,0.282656
146.08,0.282656
125.49,0.240862
100.67,0.0251589
96.54,0.215703
87.12,0.180231
64.88,1.18e-07
116.1,0.0
58.45,0.0
20.92,0.0
145.77,0.0
146.08,0.0
125.49,0.299514
100.67,0.303816
96.54,0.0443094
87.12,0.0287405
64.88,1.18e-07
116.1,0.0
58.45,0.253396
20.92,0.253396
145.77,0.346741
146.08,0.0472275
125.49,0.081147
100.67,0.0560411
96.54,0.243097
87.12,0.132757
64.88,0.349109
116.1,0.349109
58.45,0.0
20.92,0.0
145.77,0.0
146.08,0.217991
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.41949
64.88,1.18e-07
116.1,0.0
58.45,0.0
20.92,0.000568042
145.77,0.000191784
146.08,0.000759826
125.49,0.0493075
100.67,0.0559067
96.54,0.0314511
87.12,0.127971
64.88,1.18e-07
116.1,0.272879
58.45,0.0865366
20.92,0.358986
145.77,0.337686
146.08,0.129308
125.49,0.286202
100.67,0.286202
96.54,0.0
87.12,0.0
64.88,1.18e-07
116.1,0.0
58.45,0.000544051
20.92,0.000544051
145.77,0.000638445
146.08,0.000638445
125.49,0.303705
100.67,0.0520151
96.54,0.25169
87.12,0.327139
64.88,1.18e-07
116.1,0.00057499
58.45,0.00057499
20.92,0.000577658
145.77,0.233343
146.08,0.233921
125.49,0.0
100.67,0.0
96.54,0.296146
87.12,0.000263802
64.88,1.18e-07
116.1,0.247842
58.45,0.247842
20.92,0.0
145.77,0.29803
146.08,0.29803
125.49,0.22669
100.67,0.22669
96.54,0.0
87.12,0.0
64.88,1.18e-07
116.1,0.000469137
58.45,0.000469137
20.92,0.0
145.77,0.000459662
146.08,0.000459662
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.000627908
116.1,1.76169e-05
58.45,0.000610409
20.92,0.0
145.77,0.0
146.08,0.0
125.49,0.0
100.67,0.0
96.54,0.0
87.12,0.382248
64.88,1.18e-07
116.1,0.0
58.45,0.00063778
20.92,0.00063778
145.77,0.0
146.08,0.0
125.49,0.211858
100.67,0.211858
96.54,0.0
87.12,0.176131
64.88,1.18e-07
116.1,0.000492989
58.45,4.464e-06
20.92,0.000497453
145.77,0.0
146.08,0.0
125.49,0.0
100.67,0.0
96.54,0.376008
87.12,0.0770827
64.88,0.328698
116.1,0.0187114
58.45,0.34741
20.92,0.000551289
145.77,0.330618
146.08,0.331169
125.49,4.464e-06
100.67,0.216364
96.54,0.0
87.12,0.0
64.88,1.18e-07
116.1,0.347681
58.45,0.347681
20.92,0.0
145.77,0.446971
146.08,0.230611
