User,LostPackets
125.49,5990
100.67,6000
96.54,5966
87.12,6000
64.88,6000
116.1,6000
58.45,6000
20.92,9
145.77,9
146.08,4969
125.49,6000
100.67,6000
96.54,4815
87.12,4187
64.88,6000
116.1,3
58.45,6000
20.92,6000
145.77,6000
146.08,4148
125.49,6000
100.67,5892
96.54,6000
87.12,6000
64.88,5642
116.1,6000
58.45,5978
20.92,6000
145.77,9
146.08,6000
125.49,6000
100.67,6000
96.54,3832
87.12,6000
64.88,6000
116.1,6000
58.45,5935
20.92,5458
145.77,8
146.08,4400
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,3470
58.45,2
20.92,6000
145.77,6000
146.08,6000
125.49,4816
100.67,6000
96.54,2705
87.12,2771
64.88,6000
116.1,6000
58.45,5798
20.92,6000
145.77,5642
146.08,6000
125.49,4803
100.67,4299
96.54,6000
87.12,3589
64.88,6000
116.1,6000
58.45,6000
20.92,6000
145.77,6000
146.08,6000
125.49,6000
100.67,5964
96.54,5957
87.12,5984
64.88,6000
116.1,6000
58.45,5048
20.92,6000
145.77,5839
146.08,5947
125.49,5898
100.67,4809
96.54,6000
87.12,2605
64.88,5936
116.1,6000
58.45,6000
20.92,6000
145.77,6000
146.08,4308
125.49,6000
100.67,6000
96.54,6000
87.12,5986
64.88,6000
116.1,6000
58.45,6000
20.92,8
145.77,8
146.08,6000
125.49,5108
100.67,3968
96.54,3383
87.12,5907
64.88,6000
116.1,5437
58.45,5934
20.92,5
145.77,5757
146.08,4151
125.49,5705
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,6000
58.45,2
20.92,6000
145.77,12
146.08,6000
125.49,5957
100.67,5031
96.54,6000
87.12,5934
64.88,6000
116.1,9
58.45,6000
20.92,9
145.77,5999
146.08,6000
125.49,6000
100.67,6000
96.54,5913
87.12,5909
64.88,6000
116.1,4933
58.45,6000
20.92,6000
145.77,5627
146.08,6000
125.49,4542
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,2
58.45,6000
20.92,6000
145.77,3
146.08,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,5
116.1,5
58.45,6000
20.92,6000
145.77,6000
146.08,6000
125.49,6000
100.67,6000
96.54,6000
87.12,5977
64.88,6000
116.1,6000
58.45,11
20.92,6000
145.77,6000
146.08,6000
125.49,4236
100.67,6000
96.54,6000
87.12,3507
64.88,6000
116.1,5
58.45,5
20.92,6000
145.77,6000
146.08,6000
125.49,6000
100.67,6000
96.54,5978
87.12,5913
64.88,5650
116.1,5932
58.45,6000
20.92,2
145.77,5951
146.08,6000
125.49,4302
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,5859
58.45,6000
20.92,6000
145.77,5999
146.08,4302
