User,Throughput
1,0.170667
2,0.0
3,0.580267
4,0.0
5,0.0
6,0.0
7,0.0
8,10.2246
9,10.2246
10,17.5957
1,0.0
2,0.0
3,20.224
4,30.9419
5,0.0
6,10.2349
7,0.0
8,0.0
9,0.0
10,31.6075
1,0.0
2,1.8432
3,0.0
4,0.0
5,0.610987
6,0.0
7,0.0375467
8,0.0
9,10.2246
10,0.0
1,0.0
2,0.0
3,37.0005
4,0.0
5,0.0
6,0.0
7,0.110933
8,0.925013
9,10.2263
10,27.3067
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,4.31787
7,10.2366
8,0.0
9,0.0
10,0.0
1,20.2069
2,0.0
3,56.2347
4,55.1083
5,0.0
6,0.0
7,0.344747
8,0.0
9,0.610987
10,0.0
1,20.4288
2,29.0304
3,0.0
4,41.1477
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
1,0.0
2,0.6144
3,0.733867
4,0.273067
5,0.0
6,0.0
7,1.62475
8,0.0
9,0.274773
10,0.904533
1,1.7408
2,20.3264
3,0.0
4,57.9413
5,0.109227
6,0.0
7,0.0
8,0.0
9,0.0
10,28.8768
1,0.0
2,0.0
3,0.0
4,0.238933
5,0.0
6,0.0
7,0.0
8,10.2263
9,10.2263
10,0.0
1,15.2235
2,34.6795
3,44.6635
4,1.5872
5,0.0
6,0.960853
7,0.11264
8,10.2315
9,0.41472
10,31.5563
1,5.03467
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,10.2366
8,0.0
9,10.2195
10,0.0
1,0.733867
2,16.5376
3,0.0
4,1.1264
5,0.0
6,10.2246
7,0.0
8,10.2246
9,0.00170667
10,0.0
1,0.0
2,0.0
3,1.4848
4,1.55307
5,0.0
6,1.82101
7,0.0
8,0.0
9,0.636587
10,0.0
1,24.8832
2,0.0
3,0.0
4,0.0
5,0.0
6,10.2366
7,0.0
8,0.0
9,10.2349
10,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,10.2315
6,10.2315
7,0.0
8,0.0
9,0.0
10,0.0
1,0.0
2,0.0
3,0.0
4,0.392533
5,0.0
6,0.0
7,10.2212
8,0.0
9,0.0
10,0.0
1,30.1056
2,0.0
3,0.0
4,42.5472
5,0.0
6,10.2315
7,10.2315
8,0.0
9,0.0
10,0.0
1,0.0
2,0.0
3,0.375467
4,1.4848
5,0.597333
6,0.116053
7,0.0
8,10.2366
9,0.0836267
10,0.0
1,28.9792
2,0.0
3,0.0
4,0.0
5,0.0
6,0.23952
7,0.0
8,0.0
9,0.00170667
10,28.9792
