User,Delay
1,0.294294
2,0.162972
3,0.299902
4,0.2927
5,0.263651
6,0.274972
7,0.278399
8,0.000407213
9,0.000411677
10,0.300643
1,0.305684
2,0.300293
3,0.119938
4,0.297541
5,0.288133
6,0.270303
7,0.293842
8,0.10229
9,0.296028
10,0.304251
1,0.209405
2,0.308165
3,0.300124
4,0.0
5,0.273137
6,0.298127
7,0.000448144
8,0.27315
9,0.272304
10,0.2094
1,0.170658
2,0.281538
3,0.296983
4,0.291834
5,0.257731
6,0.260412
7,0.262862
8,0.268677
9,0.249416
10,0.297616
1,0.19242
2,0.175658
3,0.294061
4,0.293534
5,0.314772
6,0.317677
7,0.284579
8,0.267448
9,0.000491699
10,0.302171
1,0.112921
2,0.318313
3,0.000395244
4,0.290638
5,0.000302799
6,0.000307263
7,0.000311727
8,0.264564
9,0.244762
10,0.275048
1,0.294608
2,0.296652
3,0.000510831
4,0.282391
5,0.250282
6,0.000344303
7,0.249767
8,0.000353231
9,0.000357673
10,0.294999
1,0.274558
2,0.363037
3,0.296861
4,0.297325
5,0.273807
6,0.281434
7,0.281633
8,0.272425
9,0.245564
10,0.305166
1,0.298761
2,0.302218
3,0.296832
4,0.0737819
5,0.265284
6,0.265403
7,0.277049
8,0.000428362
9,0.189919
10,0.298003
1,0.293975
2,0.291144
3,0.292074
4,0.295663
5,0.268136
6,0.000446155
7,0.261222
8,0.253633
9,0.000459547
10,0.239984
1,0.295077
2,0.260611
3,0.0610798
4,0.0441683
5,0.273562
6,0.268078
7,0.000486183
8,0.174979
9,0.273601
10,0.278844
1,0.179888
2,0.172729
3,0.0854856
4,0.295202
5,0.0112788
6,0.310962
7,0.000422761
8,0.000460157
9,0.276822
10,0.245609
1,0.138626
2,0.276357
3,0.29703
4,0.258213
5,0.273602
6,0.000388074
7,0.273019
8,0.000397002
9,0.272963
10,0.270505
1,0.31345
2,0.265814
3,0.0768462
4,0.309921
5,0.000402016
6,0.321302
7,0.276009
8,0.293522
9,0.124734
10,0.327222
1,0.0986835
2,0.283808
3,0.00039135
4,0.277739
5,0.253072
6,0.000309097
7,0.000313561
8,0.0277244
9,0.181138
10,0.28671
1,0.303817
2,0.317835
3,0.29719
4,0.296464
5,0.164442
6,0.331415
7,0.000536225
8,0.290326
9,0.35036
10,0.298365
1,0.291155
2,0.119202
3,0.251982
4,0.296206
5,0.25305
6,0.00034103
7,0.26255
8,0.000349958
9,0.000354422
10,0.295559
1,0.326869
2,0.283296
3,0.274397
4,0.294382
5,0.301999
6,0.30139
7,0.266422
8,0.000404627
9,0.000409091
10,0.273212
1,0.301551
2,0.125134
3,0.0137303
4,0.290806
5,0.241628
6,0.000380555
7,0.270286
8,0.25346
9,0.25492
10,0.15001
1,0.300703
2,0.298202
3,0.280645
4,0.211161
5,0.246777
6,0.290705
7,0.328305
8,0.309238
9,0.312136
10,0.303588
