User,Jitter
1,0.00634887
2,0.131322
3,0.13693
4,0.00720164
5,0.263651
6,0.0113213
7,0.00342664
8,0.277992
9,4.464e-06
10,0.300232
1,0.00143282
2,0.00539021
3,0.180355
4,0.177603
5,0.288133
6,0.0178299
7,0.023539
8,0.191552
9,0.193737
10,0.008223
1,4.464e-06
2,0.0987601
3,0.00804074
4,0.300124
5,0.273137
6,0.0249902
7,0.297679
8,0.272702
9,0.000845595
10,0.0629039
1,0.126958
2,0.110879
3,0.0154452
4,0.00514902
5,0.257731
6,0.00268053
7,0.00245041
8,0.00581497
9,0.019261
10,0.0482002
1,0.109751
2,0.0167623
3,0.118403
4,0.000526794
5,0.314772
6,0.00290509
7,0.0330981
8,0.0171306
9,0.266956
10,0.301679
1,0.162128
2,0.205393
3,0.317918
4,0.290243
5,0.000302681
6,4.464e-06
7,4.464e-06
8,0.264252
9,0.0198016
10,0.0302862
1,0.000390817
2,0.00204428
3,0.296142
4,0.28188
5,0.250282
6,0.249938
7,0.249423
8,0.249414
9,4.44194e-06
10,0.294641
1,0.0306083
2,0.0884791
3,0.0661763
4,0.000463853
5,0.273807
6,0.00762642
7,0.000199026
8,0.00920793
9,0.0268607
10,0.0596022
1,0.00075882
2,0.00345623
3,0.00538558
4,0.22305
5,0.265284
6,0.00011956
7,0.0116451
8,0.27662
9,0.189491
10,0.108083
1,0.053991
2,0.00283098
3,0.000930385
4,0.00358838
5,0.268136
6,0.26769
7,0.260775
8,0.00758809
9,0.253174
10,0.239524
1,0.0162332
2,0.0344667
3,0.199531
4,0.0169116
5,0.273561
6,0.00548399
7,0.267591
8,0.174493
9,0.0986212
10,0.00524352
1,0.0657212
2,0.00715874
3,0.0872433
4,0.209716
5,0.0112786
6,0.299684
7,0.31054
8,3.73961e-05
9,0.276362
10,0.0312133
1,0.131879
2,0.137731
3,0.0206736
4,0.0388172
5,0.273601
6,0.273213
7,0.272631
8,0.272622
9,0.272566
10,0.00245815
1,0.013772
2,0.0476363
3,0.188968
4,0.233074
5,0.000401898
6,0.3209
7,0.0452934
8,0.0175138
9,0.168788
10,0.202488
1,0.188026
2,0.185125
3,0.283417
4,0.277348
5,0.253072
6,0.252763
7,4.464e-06
8,0.0274108
9,0.153413
10,0.105572
1,0.00545219
2,0.0140184
3,0.0206454
4,0.000725613
5,0.164442
6,0.166972
7,0.330878
8,0.28979
9,0.0600336
10,0.0519953
1,0.00440404
2,0.171953
3,0.13278
4,0.044224
5,0.25305
6,0.252709
7,0.262209
8,0.2622
9,4.464e-06
10,0.295205
1,0.0536568
2,0.0435727
3,0.00889903
4,0.0199847
5,0.301999
6,0.000609398
7,0.0349677
8,0.266018
9,4.464e-06
10,0.272803
1,0.151541
2,0.176417
3,0.111404
4,0.277076
5,0.241628
6,0.241247
7,0.269905
8,0.0168252
9,0.00145974
10,0.10491
1,0.00288467
2,0.00250125
3,0.0175566
4,0.0694846
5,0.246777
6,0.0439274
7,0.0376
8,0.0190666
9,0.00289813
10,0.00854816
