User,LostPackets
1,5914
2,3279
3,5864
4,5827
5,5263
6,5481
7,5441
8,5
9,5
10,5939
1,5959
2,5940
3,2392
4,5903
5,5601
6,5635
7,5680
8,2032
9,5598
10,5959
1,4161
2,5950
3,5917
4,6000
5,5440
6,5622
7,2
8,5440
9,5665
10,4161
1,3415
2,5612
3,5868
4,5815
5,5176
6,5213
7,5237
8,5354
9,5396
10,5939
1,3844
2,3539
3,5855
4,5872
5,5516
6,5571
7,5541
8,5343
9,3
10,5949
1,2173
2,5914
3,3
4,5815
5,3
6,3
7,3
8,5196
9,4861
10,5420
1,5880
2,5918
3,7
4,5829
5,5009
6,2
7,5007
8,2
9,5
10,5847
1,5999
2,5966
3,5911
4,5905
5,5649
6,5609
7,5610
8,5427
9,4887
10,5960
1,5953
2,5944
3,5893
4,1458
5,5258
6,5361
7,5534
8,3
9,3782
10,5930
1,5814
2,5811
3,5832
4,5874
5,5245
6,3
7,5200
8,5079
9,3
10,4783
1,5944
2,5925
3,1219
4,884
5,5366
6,5333
7,5
8,3502
9,5475
10,5590
1,3618
2,3460
3,1709
4,5886
5,218
6,5576
7,2
8,2
9,5532
10,4903
1,2738
2,5492
3,5866
4,5108
5,5414
6,4
7,5414
8,4
9,5409
10,5926
1,5830
2,5304
3,1524
4,5906
5,2
6,5238
7,5508
8,5372
9,2481
10,5948
1,2137
2,5878
3,3
4,5520
5,5212
6,3
7,3
8,530
9,4829
10,5774
1,5960
2,5956
3,5878
4,5908
5,3279
6,5794
7,3
8,5623
9,5815
10,5943
1,5870
2,2372
3,5034
4,5810
5,5062
6,3
7,5302
8,3
9,3
10,5886
1,5939
2,5934
3,5491
4,5869
5,5432
6,5344
7,5301
8,5
9,5
10,5462
1,5690
2,2492
3,243
4,5849
5,4915
6,2
7,5364
8,5118
9,5080
10,2978
1,5958
2,5943
3,5632
4,4199
5,4912
6,5702
7,5743
8,5613
9,5710
10,5958
