User,Throughput
125.49,1.46773
100.67,46.4384
96.54,2.32107
87.12,2.95253
64.88,1.25781
116.1,0.88576
58.45,0.954027
20.92,10.2315
145.77,10.2315
146.08,1.04107
125.49,0.699733
100.67,1.024
96.54,61.5765
87.12,1.65547
64.88,0.68096
116.1,0.622933
58.45,0.546133
20.92,6.77205
145.77,0.68608
146.08,0.699733
125.49,31.3856
100.67,0.853333
96.54,1.41653
87.12,0.0
64.88,0.955733
116.1,0.64512
58.45,10.2366
20.92,0.955733
145.77,0.571733
146.08,31.3856
125.49,44.1173
100.67,6.62187
96.54,2.2528
87.12,3.15733
64.88,1.40629
116.1,1.34315
58.45,1.30219
20.92,1.10251
145.77,1.03083
146.08,1.04107
125.49,36.7957
100.67,42.0011
96.54,2.47467
87.12,2.18453
64.88,0.826027
116.1,0.73216
58.45,0.78336
20.92,1.12128
145.77,10.2349
146.08,0.8704
125.49,65.3141
100.67,1.46773
96.54,102.349
87.12,3.15733
64.88,10.2349
116.1,10.2349
58.45,10.2349
20.92,1.37216
145.77,1.94389
146.08,9.89867
125.49,2.048
100.67,1.39947
96.54,102.281
87.12,2.9184
64.88,1.69131
116.1,10.2366
58.45,1.69472
20.92,10.2366
145.77,10.2315
146.08,2.6112
125.49,0.0170667
100.67,0.580267
96.54,1.51893
87.12,1.62133
64.88,0.59904
116.1,0.667307
58.45,0.6656
20.92,0.97792
145.77,1.89952
146.08,0.682667
125.49,0.802133
100.67,0.955733
96.54,1.82613
87.12,77.5168
64.88,1.26635
116.1,1.09056
58.45,0.795307
20.92,10.2349
145.77,3.78539
146.08,1.19467
125.49,3.1744
100.67,3.2256
96.54,2.8672
87.12,2.1504
64.88,1.28853
116.1,10.2349
58.45,1.36533
20.92,1.57184
145.77,10.2349
146.08,20.7701
125.49,0.955733
100.67,1.28
96.54,81.5957
87.12,87.3131
64.88,1.08203
116.1,1.13835
58.45,10.2315
20.92,4.26325
145.77,0.896
146.08,6.99733
125.49,40.6528
100.67,43.3493
96.54,73.2331
87.12,1.9456
64.88,9.86795
116.1,0.723627
58.45,10.2366
20.92,10.2366
145.77,0.79872
146.08,18.7221
125.49,55.6715
100.67,8.66987
96.54,2.28693
87.12,15.2235
64.88,1.00011
116.1,10.2332
58.45,1.00011
20.92,10.2332
145.77,1.00864
146.08,1.26293
125.49,2.90133
100.67,11.8784
96.54,76.3904
87.12,1.60427
64.88,10.2366
116.1,1.30048
58.45,0.83968
20.92,1.07179
145.77,6.00576
146.08,0.887467
125.49,65.9285
100.67,2.08213
96.54,102.349
87.12,8.192
64.88,1.34485
116.1,10.2349
58.45,10.2349
20.92,9.33547
145.77,1.99851
146.08,3.85707
125.49,0.682667
100.67,0.750933
96.54,2.08213
87.12,1.57013
64.88,4.64384
116.1,0.35148
58.45,10.2349
20.92,0.643413
145.77,0.315733
146.08,0.9728
125.49,2.21867
100.67,61.9179
96.54,16.4864
87.12,3.24267
64.88,1.60085
116.1,10.2349
58.45,1.19125
20.92,10.2349
145.77,10.2349
146.08,1.9456
125.49,1.04107
100.67,1.1264
96.54,8.68693
87.12,2.23573
64.88,0.969387
116.1,1.11957
58.45,1.19296
20.92,10.2315
145.77,10.2315
146.08,9.18187
125.49,5.29067
100.67,59.8699
96.54,98.2528
87.12,2.57707
64.88,1.85173
116.1,10.2366
58.45,1.08544
20.92,1.50528
145.77,1.57013
146.08,51.5755
125.49,0.7168
100.67,0.9728
96.54,6.28053
87.12,30.7371
64.88,1.85685
116.1,0.508587
58.45,0.438613
20.92,0.66048
145.77,0.494933
146.08,0.7168
