User,Jitter
1,0.13477
2,0.31822
3,0.114955
4,0.193293
5,1.18e-07
6,0.18345
1,0.0158632
2,0.146294
3,0.0998334
4,0.000230943
5,0.000490583
6,0.235852
1,0.000561223
2,0.259869
3,0.00827202
4,0.268067
5,0.000350319
6,0.000578893
1,0.1019
2,0.296045
3,0.0637311
4,0.360296
5,0.31152
6,0.2091
1,0.256902
2,0.123489
3,0.172511
4,0.296
5,0.189251
6,0.0676508
1,0.116437
2,0.0423862
3,0.0517086
4,0.018495
5,0.251918
6,0.0800043
1,0.0886103
2,0.0840145
3,8.928e-06
4,0.222979
5,0.247986
6,0.00239592
1,0.196931
2,0.269239
3,0.0202847
4,0.00380771
5,0.23204
6,0.0343739
1,0.317952
2,0.318376
3,0.0
4,0.378609
5,0.000427198
6,2.95308e-06
1,0.321908
2,0.322403
3,0.115049
4,0.186844
5,0.234363
6,0.233867
