User,Train Accuracy,Validation Accuracy,Timestamp
user 5,0.40275,0.9364,2024-12-11 23:22:50
user 4,0.61305,0.9561,2024-12-12 00:48:54
user 6,0.6651333333333334,0.9619,2024-12-12 02:14:33
user 3,0.7108833333333333,0.96,2024-12-12 03:39:12
user 1,0.7741333333333333,0.9655,2024-12-12 05:03:59
user 1,0.3029,0.9064,2024-12-12 11:32:12
user 1,0.41295,0.9465,2024-12-12 14:21:14
user 4,0.31178333333333336,0.9017,2024-12-12 18:53:04
user 1,0.64875,0.9529,2024-12-12 20:44:29
user 2,0.4308166666666667,0.9415,2024-12-13 14:31:29
user 5,0.6752166666666667,0.961,2024-12-13 16:20:29
user 3,0.7065833333333333,0.9652,2024-12-13 18:10:10
user 1,0.7303,0.9629,2024-12-13 21:01:27
user 3,0.4241333333333333,0.9347,2024-12-14 13:09:23
user 4,0.6471,0.9573,2024-12-14 14:34:25
user 5,0.6794166666666667,0.9566,2024-12-14 15:55:39
user 1,0.7350333333333333,0.9612,2024-12-14 17:17:25
user 4,0.4560666666666667,0.9396,2024-12-14 19:03:58
user 3,0.5511333333333334,0.9589,2024-12-14 20:27:38
user 2,0.6615333333333333,0.959,2024-12-14 21:48:50
user 6,0.7439666666666667,0.9678,2024-12-14 23:17:22
user 5,0.7614833333333333,0.9701,2024-12-15 00:45:50
user 1,0.78975,0.9696,2024-12-15 02:15:19
user 4,0.3318833333333333,0.9219,2024-12-16 14:16:03
user 3,0.6925833333333333,0.964,2024-12-16 15:41:27
user 2,0.7075166666666667,0.9642,2024-12-16 17:41:09
user 1,0.769,0.9265,2024-12-16 19:22:53
user 3,0.4553333333333333,0.9383,2024-12-16 21:09:58
user 2,0.6032166666666666,0.9599,2024-12-16 22:36:48
user 5,0.7063,0.9683,2024-12-17 00:01:12
user 4,0.7311166666666666,0.9663,2024-12-17 01:16:04
user 6,0.7417833333333334,0.967,2024-12-17 02:36:42
user 1,0.7676833333333334,0.9606,2024-12-17 03:57:04
user 6,0.47835,0.9484,2024-12-17 09:24:48
user 5,0.5666666666666667,0.9594,2024-12-17 10:48:15
user 1,0.7116666666666667,0.9621,2024-12-17 12:12:30
user 2,0.4361833333333333,0.932,2024-12-17 14:01:47
user 5,0.65895,0.9559,2024-12-17 15:26:45
user 4,0.7236833333333333,0.9692,2024-12-17 16:52:42
user 1,0.786,0.971,2024-12-17 18:18:23
user 1,0.40241666666666664,0.9361,2024-12-17 20:46:04
user 1,0.3748166666666667,0.9306,2024-12-17 22:17:14
user 6,0.33268333333333333,0.9209,2024-12-18 13:20:02
user 1,0.6435,0.9587,2024-12-18 15:16:26
user 2,0.3727666666666667,0.9108,2024-12-19 10:48:03
user 4,0.6938,0.9594,2024-12-19 12:15:48
user 6,0.6878,0.9597,2024-12-19 13:32:15
user 3,0.7092666666666667,0.962,2024-12-19 14:49:22
user 3,0.3253333333333333,0.9102,2024-12-20 14:33:30
user 2,0.6587833333333334,0.9628,2024-12-20 15:51:35
user 6,0.6557333333333333,0.9695,2024-12-20 17:11:58
user 5,0.7644666666666666,0.9672,2024-12-20 18:30:26
user 4,0.7888333333333334,0.966,2024-12-20 19:59:50
user 1,0.78135,0.9701,2024-12-20 21:20:10
user 1,0.4241666666666667,0.9484,2024-12-23 14:09:17
user 5,0.39258333333333334,0.9274,2024-12-24 14:42:06
user 4,0.6342833333333333,0.9606,2024-12-24 16:04:37
user 3,0.7122,0.9655,2024-12-24 17:23:41
user 2,0.75015,0.9695,2024-12-24 18:41:22
user 6,0.7263333333333334,0.9635,2024-12-24 20:02:40
user 1,0.7795333333333333,0.9691,2024-12-24 21:20:21
user 6,0.42086666666666667,0.9278,2024-12-25 11:17:38
user 1,0.6586166666666666,0.9586,2024-12-25 12:30:05
user 4,0.38675,0.935,2024-12-25 14:16:40
user 5,0.6355166666666666,0.9571,2024-12-25 15:42:35
user 3,0.6710666666666667,0.965,2024-12-25 17:07:33
user 2,0.6764166666666667,0.9576,2024-12-25 18:35:33
user 1,0.7446333333333334,0.964,2024-12-25 20:06:23
user 6,0.42861666666666665,0.9291,2024-12-26 12:45:50
user 3,0.6598,0.9561,2024-12-26 14:13:56
user 5,0.7041333333333334,0.9585,2024-12-26 16:30:25
user 1,0.4381,0.936,2024-12-31 11:49:45
user 4,0.4156666666666667,0.9454,2024-12-31 17:50:11
user 3,0.6603833333333333,0.9593,2024-12-31 19:08:52
user 1,0.7072333333333334,0.9616,2024-12-31 20:26:24
user 4,0.43546666666666667,0.9403,2025-01-01 16:33:17
user 2,0.6398,0.9592,2025-01-01 18:08:48
user 6,0.7256166666666667,0.9619,2025-01-01 20:15:34
user 5,0.7166666666666667,0.9638,2025-01-01 21:57:32
