User,Train Accuracy,Validation Accuracy,Timestamp
151.17,0.7984,96.71,2024-12-01 23:33:20
66.43,0.32025,92.02,2024-12-02 01:02:40
154.13,0.65075,96.28,2024-12-02 02:21:02
51.55,0.7733166666666667,96.42,2024-12-02 03:37:29
151.17,0.7296833333333334,96.17,2024-12-02 04:54:49
91.84,0.43095,93.4,2024-12-02 13:57:12
151.17,0.6564333333333333,95.91,2024-12-02 15:33:32
91.84,0.3985166666666667,93.79,2024-12-02 17:33:29
51.55,0.5811166666666666,95.16,2024-12-02 19:00:55
90.04,0.7443166666666666,95.97,2024-12-02 20:26:53
154.13,0.7181333333333333,96.5,2024-12-02 21:59:29
151.17,0.7772666666666667,96.67,2024-12-02 23:17:27
51.55,0.4195833333333333,92.79,2024-12-03 08:33:30
151.17,0.6324666666666666,95.76,2024-12-03 09:44:40
51.55,0.3701166666666666,93.08,2024-12-03 13:30:28
66.43,0.6146666666666667,96.31,2024-12-03 14:45:13
154.13,0.6983166666666667,96.54,2024-12-03 16:21:59
90.04,0.7289833333333333,96.21,2024-12-03 17:56:30
151.17,0.7781166666666667,96.2,2024-12-03 19:17:45
91.84,0.44555,94.05,2024-12-04 20:16:48
151.17,0.5455666666666666,94.64,2024-12-04 21:30:21
90.04,0.4657666666666666,94.73,2024-12-05 09:22:47
91.84,0.5779833333333333,95.29,2024-12-05 11:17:13
154.13,0.4660666666666667,93.66,2024-12-05 14:55:21
66.43,0.5247666666666667,95.39,2024-12-05 16:59:39
151.17,0.6801,96.29,2024-12-05 18:32:27
154.13,0.43335,94.58,2024-12-05 22:06:58
66.43,0.603,95.73,2024-12-05 23:29:59
51.55,0.4478166666666666,93.82,2024-12-06 09:20:58
154.13,0.6467333333333334,96.08,2024-12-06 10:42:45
90.04,0.7004166666666667,96.74,2024-12-06 12:03:12
66.43,0.7253666666666667,96.17,2024-12-06 13:26:37
91.84,0.764,97.31,2024-12-06 14:45:40
151.17,0.7526166666666667,96.55,2024-12-06 16:05:44
51.55,0.3755833333333333,92.75,2024-12-06 19:34:13
91.84,0.6916833333333333,96.05,2024-12-06 20:55:29
66.43,0.7185,96.62,2024-12-06 22:19:15
90.04,0.3562166666666667,91.71,2024-12-07 12:34:40
51.55,0.6286,95.54,2024-12-07 13:58:18
154.13,0.7209333333333333,95.37,2024-12-07 15:25:43
151.17,0.7410666666666667,96.59,2024-12-07 17:07:20
91.84,0.42965,93.94,2024-12-07 20:09:12
66.43,0.6587166666666666,96.3,2024-12-07 21:35:25
151.17,0.6751166666666667,96.22,2024-12-07 23:15:26
154.13,0.39815,92.89,2024-12-08 20:53:37
154.13,0.3831333333333333,92.8,2024-12-09 14:08:17
90.04,0.6736833333333333,96.45,2024-12-09 16:15:59
66.43,0.6312666666666666,95.59,2024-12-09 18:55:25
51.55,0.7269333333333333,95.35,2024-12-09 20:59:49
91.84,0.77685,96.88,2024-12-09 22:48:22
151.17,0.39055,93.96,2024-12-10 10:25:04
51.55,0.4781833333333333,94.38,2024-12-10 14:17:23
154.13,0.5853,96.05,2024-12-10 16:08:14
151.17,0.6800166666666667,94.13,2024-12-10 17:59:34
51.55,0.47645,94.78,2024-12-10 20:35:50
151.17,0.5864333333333334,95.47,2024-12-10 22:27:00
90.04,0.44825,94.7,2024-12-11 08:45:55
154.13,0.5947,95.52,2024-12-11 10:07:41
66.43,0.6027,96.59,2024-12-11 12:07:43
151.17,0.7518333333333334,97.08,2024-12-11 13:36:26
51.55,0.4114,94.12,2024-12-11 17:44:17
151.17,0.6317166666666667,95.43,2024-12-11 19:30:18
