User,Train Accuracy,Validation Accuracy,Timestamp
user 4,0.3934166666666667,0.9347,2024-11-09 20:05:20
user 1,0.6331,0.961,2024-11-09 21:21:52
user 1,0.3378,0.9097,2024-11-09 23:32:14
user 2,0.334,0.9215,2024-11-10 14:22:30
user 1,0.5913833333333334,0.9527,2024-11-10 16:12:16
user 6,0.4064,0.9409,2024-11-10 21:57:44
user 3,0.6784833333333333,0.9601,2024-11-10 23:16:42
user 5,0.7250666666666666,0.9678,2024-11-11 00:30:17
user 4,0.7668666666666667,0.9655,2024-11-11 01:45:02
user 1,0.7682833333333333,0.9685,2024-11-11 02:58:50
