User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.293258,2.67947,353.521,5843,0.293258
2,0.302281,0.170667,492.298,5990,0.00902356
3,0,0,892.253,6000,0.302281
4,0,0,1269.5,6000,0
5,0.285728,0.124587,257.213,5927,0.285728
6,0.269319,1.10421,261.607,5353,0.0164084
7,0.173151,4.36907,419.907,3440,0.0961682
8,0.0348212,9.09483,837.058,671,0.13833
9,0.000415643,10.2332,410.97,4,0.0344056
10,0.259201,1.46091,863.587,5144,0.258786
11,0,0,692.212,6000,0.259201
12,0.261192,1.3568,835.52,5205,0.261192
13,0.173129,4.36907,769.188,3440,0.0880634
14,0.274291,0.91648,856.491,5463,0.101163
15,0.298038,1.3824,682.028,5919,0.023747
16,0.298953,0.938667,214.66,5945,0.000915382
17,0.188898,38.7925,813.793,3727,0.110056
18,0,0,960.506,6000,0.188898
19,0,0,1542.92,6000,0
20,0,0,148.454,6000,0
