NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,147.087,6.42416,1.5,147.235
UE,2,112.516,59.4085,1.5,127.246
UE,3,14.2075,23.2914,1.5,27.3238
UE,4,50.0494,39.0151,1.5,63.4773
UE,5,71.0425,61.7786,1.5,94.1588
UE,6,58.8973,51.4337,1.5,78.2084
UE,7,59.7685,34.6217,1.5,69.0882
UE,8,130.482,38.5797,1.5,136.074
UE,9,73.1995,80.7262,1.5,108.982
UE,10,92.8949,18.3617,1.5,94.7041
UE,11,119.906,56.1811,1.5,132.423
UE,12,124.671,109.816,1.5,166.147
UE,13,57.0183,147.724,1.5,158.353
UE,14,141.599,5.43955,1.5,141.711
UE,15,134.066,119.172,1.5,179.382
UE,16,44.1368,49.0063,1.5,65.9691
UE,17,42.6919,17.5383,1.5,46.1784
UE,18,121.489,63.6862,1.5,137.178
UE,19,19.5106,83.7382,1.5,85.9942
UE,20,132.415,52.415,1.5,142.419
