User,Train Accuracy,Validation Accuracy,Timestamp
96.54,0.3922666666666666,91,2025-02-25 19:45:08
64.88,0.6196333333333334,86,2025-02-25 21:07:37
100.67,0.7322666666666666,93,2025-02-25 22:26:22
116.1,0.69805,94,2025-02-25 23:47:09
20.92,0.75705,85,2025-02-26 01:03:29
146.08,0.7626333333333334,94,2025-02-26 02:20:57
87.12,0.75905,91,2025-02-26 03:37:18
58.45,0.8100166666666667,95,2025-02-26 04:54:15
145.77,0.7807,88,2025-02-26 06:10:01
125.49,0.8098833333333333,91,2025-02-26 07:26:14
125.49,0.4043333333333333,86,2025-02-26 11:30:26
58.45,0.3835,89,2025-02-26 13:53:37
116.1,0.5631333333333334,84,2025-02-26 15:05:33
145.77,0.7241,84,2025-02-26 16:30:38
125.49,0.7472666666666666,85,2025-02-26 17:54:22
116.1,0.3438666666666666,89,2025-02-26 19:53:56
58.45,0.6163,94,2025-02-26 21:26:09
145.77,0.70335,97,2025-02-26 22:38:44
64.88,0.7531333333333333,85,2025-02-26 23:50:44
20.92,0.7812666666666667,88,2025-02-27 01:02:32
100.67,0.79645,88,2025-02-27 02:14:15
96.54,0.7335666666666667,87,2025-02-27 03:24:41
87.12,0.8061,97,2025-02-27 04:35:26
125.49,0.8174833333333333,85,2025-02-27 05:46:48
125.49,0.4624666666666667,94,2025-02-27 13:33:34
58.45,0.37565,97,2025-02-27 19:07:26
145.77,0.6632,94,2025-02-27 20:50:03
125.49,0.74885,93,2025-02-27 22:08:07
