User,Delay
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.293756
12,0.0
13,0.0
14,0.000569368
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.349691
2,0.0
3,0.0
4,0.0
5,0.0
6,0.289005
7,0.0
8,0.0
9,0.0
10,0.346408
11,0.193988
12,0.417318
13,0.000611324
14,0.0
15,0.0
16,0.438571
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.304548
6,0.342724
7,0.0
8,0.000537766
9,0.00054895
10,0.0
11,0.0
12,0.0
13,0.0
14,0.273824
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.347626
14,0.283051
15,0.0
16,0.301628
17,0.263491
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.360973
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.32714
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.28287
3,0.0
4,0.293294
5,0.0
6,0.0
7,0.000579836
8,0.000616078
9,0.0
10,0.329018
11,0.0
12,0.000574461
13,0.0
14,0.0
15,0.305513
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.302154
6,0.285432
7,0.0
8,0.0
9,0.000583383
10,0.0
11,0.286535
12,0.0
13,0.0
14,0.000555292
15,0.0
16,0.0
17,0.225583
18,0.0
19,0.0
20,0.0
1,0.0
2,0.301293
3,0.0
4,0.0
5,0.24176
6,0.000741181
7,0.0
8,0.000597999
9,0.283776
10,0.325212
11,0.0
12,0.000572208
13,0.0
14,0.34074
15,0.215375
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.303724
2,0.0
3,0.289221
4,0.0
5,0.0
6,0.00494709
7,0.0
8,0.326638
9,0.0
10,0.0
11,0.300571
12,0.338156
13,0.000686395
14,0.000677467
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.301956
4,0.0
5,0.0
6,0.0
7,0.282805
8,0.282593
9,0.0
10,0.000651827
11,0.188512
12,0.347966
13,0.000616908
14,0.00060798
15,0.0
16,0.280864
17,0.0
18,0.0
19,0.0
20,0.0
1,0.017408
2,0.0
3,0.0
4,0.0
5,0.0
6,0.285897
7,0.315611
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.2503
16,0.0
17,0.278904
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.314764
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.250006
18,0.0
19,0.0
20,0.0
1,0.0
2,0.297557
3,0.0
4,0.291425
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0007021
10,0.00068104
11,0.302514
12,0.0
13,0.000670067
14,0.000646612
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.229334
2,0.0
3,0.0
4,0.0
5,0.303285
6,0.0
7,0.215301
8,0.0
9,0.000696614
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.239045
16,0.21957
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.386385
5,0.314082
6,0.000625596
7,0.336497
8,0.0
9,0.000560548
10,0.282656
11,0.321381
12,0.00053934
13,0.282807
14,0.373045
15,0.213049
16,0.21304
17,0.0
18,0.0
19,0.0
20,0.0
1,0.210711
2,0.27307
3,0.0
4,0.0
5,0.0
6,0.338446
7,0.000600756
8,0.281246
9,0.336805
10,0.332073
11,0.269437
12,0.28413
13,0.0
14,0.000627388
15,0.0
16,0.287175
17,0.306415
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.000707829
7,0.29164
8,0.0
9,0.0
10,0.318013
11,0.0
12,0.232605
13,0.0
14,0.362631
15,0.0
16,0.0
17,0.217971
18,0.0
19,0.0
20,0.0
1,0.31131
2,0.302477
3,0.0
4,0.0
5,0.0
6,0.0
7,0.29146
8,0.000591165
9,0.0
10,0.000607417
11,0.18651
12,0.0
13,0.0
14,0.0
15,0.0
16,0.360426
17,0.21551
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.152383
6,0.28641
7,0.000574098
8,0.000566234
9,0.357386
10,0.000603026
11,0.0
12,0.000651115
13,0.000541237
14,0.0
15,0.216131
16,0.0
17,0.0
18,0.317767
19,0.291973
20,0.0
1,0.0
2,0.0
3,0.0
4,0.304822
5,0.0
6,0.000926901
7,0.0214039
8,0.000651038
9,0.000645534
10,0.0
11,0.0
12,0.0
13,0.000615303
14,0.358659
15,0.0
16,0.305473
17,0.246372
18,0.0
19,0.0
20,0.477046
