User,EnergyConsumption
125.49,301.186
100.67,1118.97
96.54,1226.22
87.12,972.164
64.88,1309.89
116.1,497.531
58.45,448.772
20.92,628.31
145.77,647.463
146.08,1081.58
,431.296
,966.342
,317.052
,597.42
,306.038
,1298.41
,1063.72
,317.069
,171.566
,1177.36
125.49,256.272
100.67,1424.05
96.54,290.914
87.12,179.948
64.88,1666.33
116.1,844.916
58.45,857.126
20.92,402.334
145.77,917.429
146.08,917.139
,265.191
,642.51
,316.069
,172.906
,691.911
,192.227
,54.6978
,1853.27
,1080.34
,1098.31
125.49,62.7484
100.67,1032.69
96.54,223.814
87.12,625.078
64.88,691.308
116.1,1151.32
58.45,234.001
20.92,782.169
145.77,415.058
146.08,733.42
,1277.08
,633.617
,711.115
,1066.53
,601.186
,935.273
,594.889
,1368.67
,184.626
,1205.04
125.49,939.764
100.67,1087.04
96.54,1018.16
87.12,197.749
64.88,922.193
116.1,863.846
58.45,1251.54
20.92,1252.18
145.77,1149.07
146.08,96.2894
,1252.05
,304.293
,1498.61
,396.412
,885.372
,882.129
,481.655
,1401.61
,108.349
,610.297
125.49,1055.98
100.67,211.43
96.54,733.38
87.12,573.243
64.88,1102.87
116.1,433.586
58.45,1093.01
20.92,958.45
145.77,841.331
146.08,982.824
,1070.46
,496.233
,297.962
,559.114
,1073.36
,667.278
,1167.76
,298.744
,1018.59
,1525.66
125.49,1054.37
100.67,213.453
96.54,581.583
87.12,335.973
64.88,197.951
116.1,1360.1
58.45,886.889
20.92,996.096
145.77,1026.13
146.08,392.52
,547.874
,541.538
,1119.56
,619.174
,405.033
,594.153
,396.865
,1385.97
,1215.14
,1075.08
125.49,409.379
100.67,1213.81
96.54,258.052
87.12,1265.64
64.88,832.67
116.1,405.195
58.45,1671.03
20.92,1860.72
145.77,20.0948
146.08,903.561
,1073.11
,567.531
,50.1764
,1019.9
,907.741
,835.815
,1091.4
,1179.59
,559.209
,1268.18
125.49,46.9975
100.67,319.914
96.54,844.573
87.12,1204.78
64.88,630.339
116.1,967.496
58.45,471.541
20.92,271.421
145.77,267.678
146.08,1580.16
,1026.17
,970.924
,617.05
,1448.44
,337.213
,724.876
,1021.83
,1111.28
,271.555
,1178.53
125.49,475.601
100.67,1076.74
96.54,961.869
87.12,575.075
64.88,633.863
116.1,1016.88
58.45,848.924
20.92,891.174
145.77,1198.82
146.08,131.403
,897.482
,952.856
,152.32
,113.083
,604.282
,981.705
,357.817
,33.294
,466.338
,1079.99
125.49,56.192
100.67,1491.24
96.54,481.297
87.12,686.399
64.88,257.176
116.1,1110.72
58.45,342.338
20.92,2109.95
145.77,1592.69
146.08,5.92115
,287.272
,821.5
,250.31
,581.664
,791.62
,1011.98
,118.358
,2133.18
,128.964
,785.244
125.49,1331.34
100.67,867.249
96.54,398.073
87.12,431.045
64.88,184.809
116.1,39.4376
58.45,1261.8
20.92,990.907
145.77,1147.03
146.08,212.996
,945.34
,1015.88
,1920.16
,369.042
,1796.72
,142.45
,1093.24
,1106.25
,753.771
,667.669
125.49,1676.29
100.67,859.597
96.54,468.402
87.12,668.63
64.88,953.604
116.1,843.469
58.45,389.734
20.92,161.646
145.77,465.443
146.08,668.747
,1623.01
,1068.52
,1187.31
,1840.05
,1133.08
,221.278
,794.025
,932.162
,597.669
,582.577
125.49,590.193
100.67,740.921
96.54,834.339
87.12,1152.57
64.88,1039.78
116.1,1191.88
58.45,1463.11
20.92,1072.18
145.77,830.906
146.08,1700.86
,336.255
,947.798
,363.714
,1959.23
,1460.83
,192.651
,633.675
,693.236
,555.152
,29.3928
125.49,207.795
100.67,690.496
96.54,1471.68
87.12,516.648
64.88,116.071
116.1,436.976
58.45,1343.31
20.92,1873.1
145.77,800.209
146.08,412.202
,1253.84
,140.617
,729.399
,377.799
,1292.66
,940.375
,1419.99
,284.155
,846.392
,2074.98
125.49,94.5296
100.67,41.7351
96.54,214.465
87.12,121.628
64.88,705.902
116.1,1344.74
58.45,1562.27
20.92,1004.66
145.77,155.503
146.08,1272.2
,294.428
,909.717
,424.012
,1116.09
,390.073
,1422.6
,198.305
,593.273
,206.453
,300.294
125.49,978.61
100.67,516.752
96.54,94.729
87.12,168.414
64.88,48.2333
116.1,485.555
58.45,125.181
20.92,1746.1
145.77,607.053
146.08,1661.54
,923.137
,403.695
,228.053
,453.647
,353.899
,470.895
,1787.86
,1088.74
,1031.87
,376.776
125.49,640.658
100.67,396.989
96.54,15.8994
87.12,1400.27
64.88,287.853
116.1,193.544
58.45,988.387
20.92,247.063
145.77,681.921
146.08,342.787
,347.923
,358.859
,1029.96
,596.439
,277.157
,861.421
,1361.96
,1337.69
,367.406
,508.708
125.49,674.812
100.67,1767.83
96.54,1506.48
87.12,454.108
64.88,337.507
116.1,423.273
58.45,660.331
20.92,678.356
145.77,1270.77
146.08,1196.98
,603.364
,427.655
,2.72833
,20.0832
,1099.97
,420.183
,2046.92
,1034.41
,1260.79
,1224.13
125.49,183.844
100.67,361.0
96.54,292.807
87.12,857.936
64.88,773.916
116.1,791.9
58.45,17.807
20.92,922.35
145.77,583.992
146.08,277.549
,613.536
,774.14
,966.626
,250.348
,1048.14
,1040.47
,251.578
,1479.23
,1185.06
,577.517
125.49,1070.33
100.67,468.431
96.54,716.625
87.12,138.524
64.88,1829.3
116.1,732.606
58.45,643.338
20.92,1470.18
145.77,191.381
146.08,1066.42
,794.085
,334.547
,839.062
,754.346
,1272.77
,618.935
,26.6053
,1120.94
,273.778
,13.0294
