User,Jitter
1,0.0
2,0.0
3,0.0
4,0.0
5,1.18e-07
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.293756
12,0.293756
13,0.0
14,0.000569368
15,0.000569368
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.349691
2,0.349691
3,0.0
4,0.0
5,1.18e-07
6,0.289005
7,0.289005
8,0.0
9,0.0
10,0.346408
11,0.15242
12,0.223331
13,0.416707
14,0.000611324
15,0.0
16,0.438571
17,0.438571
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.304548
6,0.0381767
7,0.342724
8,0.000537766
9,1.11835e-05
10,0.00054895
11,0.0
12,0.0
13,0.0
14,0.273824
15,0.273824
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.18e-07
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.347626
14,0.0645742
15,0.283051
16,0.301628
17,0.0381371
18,0.263491
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.18e-07
6,0.0
7,0.0
8,0.0
9,0.360973
10,0.360973
11,0.0
12,0.0
13,0.0
14,0.0
15,0.32714
16,0.32714
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.28287
3,0.28287
4,0.293294
5,1.18e-07
6,0.0
7,0.000579836
8,3.62422e-05
9,0.000616078
10,0.329018
11,0.329018
12,0.000574461
13,0.000574461
14,0.0
15,0.305513
16,0.305513
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.302154
6,0.0167213
7,0.285432
8,0.0
9,0.000583383
10,0.000583383
11,0.286535
12,0.286535
13,0.0
14,0.000555292
15,0.000555292
16,0.0
17,0.225583
18,0.225583
19,0.0
20,0.0
1,0.0
2,0.301293
3,0.301293
4,0.0
5,0.24176
6,0.241019
7,0.000741181
8,0.000597999
9,0.283178
10,0.0414363
11,0.325212
12,0.000572208
13,0.000572208
14,0.34074
15,0.125365
16,0.215375
17,0.0
18,0.0
19,0.0
20,0.0
1,0.303724
2,0.303724
3,0.289221
4,0.289221
5,1.18e-07
6,0.00494709
7,0.00494709
8,0.326638
9,0.326638
10,0.0
11,0.300571
12,0.037585
13,0.33747
14,8.928e-06
15,0.000677467
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.301956
4,0.301956
5,1.18e-07
6,0.0
7,0.282805
8,0.000212621
9,0.282593
10,0.000651827
11,0.18786
12,0.159453
13,0.347349
14,8.928e-06
15,0.00060798
16,0.280864
17,0.280864
18,0.0
19,0.0
20,0.0
1,0.017408
2,0.017408
3,0.0
4,0.0
5,1.18e-07
6,0.285897
7,0.0297136
8,0.315611
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.2503
16,0.2503
17,0.278904
18,0.278904
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.18e-07
6,0.0
7,0.0
8,0.0
9,0.314764
10,0.314764
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.250006
18,0.250006
19,0.0
20,0.0
1,0.0
2,0.297557
3,0.297557
4,0.291425
5,1.18e-07
6,0.0
7,0.0
8,0.0
9,0.0007021
10,2.10598e-05
11,0.301833
12,0.302514
13,0.000670067
14,2.3454e-05
15,0.000646612
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.229334
2,0.229334
3,0.0
4,0.0
5,0.303285
6,0.303285
7,0.215301
8,0.215301
9,0.000696614
10,0.000696614
11,0.0
12,0.0
13,0.0
14,0.0
15,0.239045
16,0.0194748
17,0.21957
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.386385
5,0.314082
6,0.313456
7,0.335872
8,0.336497
9,0.000560548
10,0.282095
11,0.0387252
12,0.320841
13,0.282268
14,0.0902386
15,0.159996
16,8.928e-06
17,0.21304
18,0.0
19,0.0
20,0.0
1,0.210711
2,0.0623593
3,0.27307
4,0.0
5,1.18e-07
6,0.338446
7,0.337845
8,0.280645
9,0.0555586
10,0.00473145
11,0.0626362
12,0.0146934
13,0.28413
14,0.000627388
15,0.000627388
16,0.287175
17,0.01924
18,0.306415
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,1.18e-07
6,0.000707829
7,0.290932
8,0.29164
9,0.0
10,0.318013
11,0.318013
12,0.232605
13,0.232605
14,0.362631
15,0.362631
16,0.0
17,0.217971
18,0.217971
19,0.0
20,0.0
1,0.31131
2,0.00883367
3,0.302477
4,0.0
5,1.18e-07
6,0.0
7,0.29146
8,0.290869
9,0.000591165
10,0.000607417
11,0.185903
12,0.18651
13,0.0
14,0.0
15,0.0
16,0.360426
17,0.144916
18,0.21551
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.152383
6,0.134027
7,0.285836
8,7.86361e-06
9,0.35682
10,0.356783
11,0.000603026
12,0.000651115
13,0.000109878
14,0.000541237
15,0.216131
16,0.216131
17,0.0
18,0.317767
19,0.0257944
20,0.291973
1,0.477046
2,0.0
3,0.0
4,0.304822
5,1.18e-07
6,0.000926901
7,0.020477
8,0.0207528
9,5.50487e-06
10,0.000645534
11,0.0
12,0.0
13,0.000615303
14,0.358043
15,0.358659
16,0.305473
17,0.0591011
18,0.246372
19,0.0
20,0.477046
