User,LostPackets
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,6000
58.45,6000
20.92,6000
145.77,6000
146.08,6000
,5964
,6000
,6000
,2
,6000
,6000
,6000
,6000
,6000
,6000
125.49,5988
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,5750
58.45,6000
20.92,6000
145.77,6000
146.08,5975
,3766
,5998
,11
,6000
,6000
,5996
,6000
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,5911
116.1,5851
58.45,6000
20.92,8
145.77,8
146.08,6000
,6000
,6000
,6000
,5465
,6000
,6000
,6000
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,6000
58.45,6000
20.92,6000
145.77,6000
146.08,6000
,6000
,6000
,5880
,5645
,6000
,5964
,5259
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,6000
58.45,6000
20.92,6000
145.77,5963
146.08,6000
,6000
,6000
,6000
,6000
,5967
,6000
,6000
,6000
,6000
,6000
125.49,6000
100.67,5775
96.54,6000
87.12,5900
64.88,6000
116.1,6000
58.45,6
20.92,8
145.77,6000
146.08,5698
,6000
,7
,6000
,6000
,5963
,6000
,6000
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,5729
116.1,5723
58.45,6000
20.92,6000
145.77,6
146.08,6000
,5735
,6000
,6000
,2
,6000
,6000
,4456
,6000
,6000
,6000
125.49,6000
100.67,5911
96.54,6000
87.12,6000
64.88,4762
116.1,9
58.45,6000
20.92,5
145.77,5646
146.08,5743
,6000
,4
,6000
,5967
,4280
,6000
,6000
,6000
,6000
,6000
125.49,5971
100.67,6000
96.54,5725
87.12,6000
64.88,6000
116.1,94
58.45,6000
20.92,5948
145.77,6000
146.08,6000
,5925
,5780
,2
,2
,6000
,6000
,6000
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,5935
87.12,6000
64.88,6000
116.1,6000
58.45,5641
20.92,5637
145.77,6000
146.08,5
,3728
,5914
,5
,5
,6000
,5985
,6000
,6000
,6000
,6000
125.49,5999
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,5724
58.45,5742
20.92,6000
145.77,6000
146.08,6000
,6000
,6000
,6000
,6000
,4988
,6000
,5554
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,6000
58.45,6000
20.92,6000
145.77,5740
146.08,6000
,6000
,6000
,6000
,6000
,6000
,6000
,4989
,6000
,6000
,6000
125.49,6000
100.67,5847
96.54,6000
87.12,5785
64.88,6000
116.1,6000
58.45,6000
20.92,6000
145.77,8
146.08,6
,5955
,6000
,3
,2
,6000
,6000
,6000
,6000
,6000
,6000
125.49,4568
100.67,6000
96.54,6000
87.12,6000
64.88,5944
116.1,6000
58.45,4278
20.92,6000
145.77,5
146.08,6000
,6000
,6000
,6000
,6000
,4761
,4375
,6000
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,5997
64.88,5786
116.1,7
58.45,5784
20.92,6000
145.77,7
146.08,5635
,5946
,7
,5638
,5987
,4244
,4244
,6000
,6000
,6000
,6000
125.49,4212
100.67,5694
96.54,6000
87.12,6000
64.88,6000
116.1,5767
58.45,3
20.92,5632
145.77,5762
146.08,5752
,5411
,5666
,6000
,3
,6000
,5969
,5969
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,6000
116.1,7
58.45,5655
20.92,6000
145.77,6000
146.08,5730
,6000
,5734
,6000
,5910
,6000
,6000
,4366
,6000
,6000
,6000
125.49,5952
100.67,5996
96.54,6000
87.12,6000
64.88,6000
116.1,6000
58.45,5644
20.92,5
145.77,6000
146.08,5
,4505
,6000
,6000
,6000
,6000
,5983
,4266
,6000
,6000
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,6000
64.88,5955
116.1,5790
58.45,7
20.92,7
145.77,5980
146.08,7
,6000
,8
,7
,6000
,4301
,6000
,6000
,5949
,5809
,6000
125.49,6000
100.67,6000
96.54,6000
87.12,5762
64.88,6000
116.1,5
58.45,456
20.92,5
145.77,5
146.08,6000
,6000
,6000
,5
,5920
,6000
,5963
,4880
,6000
,6000
,5998
