User,Throughput
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.06144
12,0.0
13,0.0
14,10.2366
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.2048
2,0.0
3,0.0
4,0.0
5,0.0
6,0.426667
7,0.0
8,0.0
9,0.0
10,0.0426667
11,3.81269
12,0.00341333
13,10.2212
14,0.0
15,0.0
16,0.0682667
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.151893
6,0.254293
7,0.0
8,10.2263
9,10.2263
10,0.0
11,0.0
12,0.0
13,0.0
14,0.913067
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.2048
14,0.605867
15,0.0
16,0.6144
17,12.6464
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0631467
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.5632
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,3.84
3,0.0
4,1.70667
5,0.0
6,0.0
7,10.2298
8,10.2263
9,0.0
10,0.515413
11,0.0
12,10.2281
13,0.0
14,0.0
15,0.631467
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.462507
6,0.472747
7,0.0
8,0.0
9,10.2298
10,0.0
11,0.452267
12,0.0
13,0.0
14,10.2366
15,0.0
16,0.0
17,26.3509
18,0.0
19,0.0
20,0.0
1,0.0
2,1.51893
3,0.0
4,0.0
5,2.11285
6,10.2246
7,0.0
8,10.2315
9,0.60416
10,0.438613
11,0.0
12,10.2332
13,0.0
14,0.05632
15,29.3547
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.494933
2,0.0
3,4.69333
4,0.0
5,0.0
6,10.0796
7,0.0
8,0.0887467
9,0.0
10,0.0
11,0.128
12,0.375467
13,10.2366
14,10.2366
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,1.10933
4,0.0
5,0.0
6,0.0
7,0.612693
8,0.61952
9,0.0
10,10.2315
11,3.87755
12,0.146773
13,10.2315
14,10.2315
15,0.0
16,0.256
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0170667
2,0.0
3,0.0
4,0.0
5,0.0
6,0.47104
7,0.44032
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,17.2715
16,0.0
17,7.61173
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.443733
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,17.2544
18,0.0
19,0.0
20,0.0
1,0.0
2,2.6112
3,0.0
4,3.66933
5,0.0
6,0.0
7,0.0
8,0.0
9,10.2263
10,10.2298
11,0.0768
12,0.0
13,10.2349
14,10.2366
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
1,24.4395
2,0.0
3,0.0
4,0.0
5,0.0955733
6,0.0
7,2.93888
8,0.0
9,10.2315
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,21.1456
16,27.7333
17,0.0
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0512
5,0.365227
6,10.2281
7,0.36864
8,0.0
9,10.2281
10,0.622933
11,0.09216
12,10.2281
13,0.617813
14,0.0221467
15,29.9691
16,29.9691
17,0.0
18,0.0
19,0.0
20,0.0
1,30.5152
2,5.2224
3,0.0
4,0.0
5,0.0
6,0.397653
7,10.2349
8,0.628053
9,0.406187
10,0.423253
11,1.00523
12,0.570027
13,0.0
14,10.2349
15,0.0
16,0.529067
17,0.529067
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,10.2281
7,0.5888
8,0.0
9,0.0
10,0.4608
11,0.0
12,0.453973
13,0.0
14,0.1536
15,0.0
16,0.0
17,27.8869
18,0.0
19,0.0
20,0.0
1,0.8192
2,0.0682667
3,0.0
4,0.0
5,0.0
6,0.0
7,0.607573
8,10.2315
9,0.0
10,10.2315
11,2.55147
12,0.0
13,0.0
14,0.0
15,0.0
16,0.290133
17,29.5936
18,0.0
19,0.0
20,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0768
6,0.3584
7,10.2281
8,10.2281
9,0.0341333
10,10.2281
11,0.0
12,10.2263
13,10.2281
14,0.0
15,28.9963
16,0.0
17,0.0
18,0.8704
19,3.25973
20,0.0
1,0.0
2,0.0
3,0.0
4,4.06187
5,0.0
6,10.2315
7,9.46176
8,10.2315
9,10.2315
10,0.0
11,0.0
12,0.0
13,10.2315
14,0.136533
15,0.0
16,0.631467
17,19.1147
18,0.0
19,0.0
20,0.0341333
