NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,42.6144,114.743,1.5,122.41
UE,2,49.8382,98.7288,1.5,110.605
UE,3,98.3846,6.85412,1.5,98.6345
UE,4,68.1103,65.2082,1.5,94.3047
UE,5,44.5448,122.073,1.5,129.955
UE,6,49.1369,37.9422,1.5,62.0991
UE,7,77.0313,127.632,1.5,149.084
UE,8,87.737,80.2115,1.5,118.886
UE,9,141.518,58.2331,1.5,153.038
UE,10,144.401,92.2347,1.5,171.351
UE,11,52.5467,99.114,1.5,112.192
UE,12,80.2561,5.73705,1.5,80.4749
UE,13,110.829,137.42,1.5,176.549
UE,14,53.7337,51.4585,1.5,74.4146
UE,15,33.2663,56.7124,1.5,65.7663
UE,16,31.3298,94.2616,1.5,99.3431
UE,17,105.197,27.3062,1.5,108.693
UE,18,134.307,70.3846,1.5,151.64
UE,19,77.0311,138.59,1.5,158.566
UE,20,105.548,23.6136,1.5,108.168
