User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.299868,0.6144,485.142,5964,0.299868
2,0,0,184.45,6000,0.299868
3,0,0,475.428,6000,0
4,0,0,198.096,6000,0
5,0.206937,3.10443,775.477,4181,0.206937
6,0.227168,2.35691,1119.09,4619,0.0202308
7,0.000514633,10.2349,1116.46,3,0.226654
8,0.267223,0.679253,317.779,5602,0.266709
9,0.28952,0.662187,1370.65,5612,0.0222969
10,0.000528025,10.2349,464.944,3,0.288992
11,0.286801,0.354987,801.813,5792,0.286273
12,0.000571294,10.2281,875.015,7,0.28623
13,0.281337,0.667307,351.094,5609,0.280766
14,0.266451,1.12811,1359.92,5339,0.0148866
15,0.275939,8.41387,166.525,5507,0.009488
16,0.268376,11.008,1371.51,5355,0.00756312
17,0.299534,0.9728,1180.12,5943,0.0311582
18,0,0,1.77104,6000,0.299534
19,0,0,503.259,6000,0
20,0,0,1654.24,6000,0
