User,EnergyConsumption
1,1426.21
2,1074.22
3,446.788
4,1602.7
5,1083.95
6,32.0809
1,1166.35
2,700.475
3,702.302
4,1162.0
5,207.112
6,569.953
1,1434.13
2,928.696
3,451.401
4,965.592
5,1022.96
6,1073.01
1,1217.74
2,596.282
3,1100.09
4,1167.55
5,725.767
6,435.19
1,1308.53
2,43.8014
3,46.0444
4,973.914
5,580.295
6,767.113
1,683.493
2,1027.16
3,1179.37
4,336.237
5,583.503
6,1102.61
1,527.89
2,1601.08
3,1295.71
4,467.033
5,638.738
6,1065.75
1,473.009
2,918.774
3,65.6749
4,603.994
5,744.841
6,387.695
1,406.761
2,1303.22
3,291.957
4,622.874
5,949.836
6,219.148
1,794.725
2,567.815
3,859.517
4,1573.91
5,156.257
6,1127.92
