User,Jitter
125.49,0.00634887
100.67,0.131322
96.54,0.13693
87.12,0.00720164
64.88,0.263651
116.1,0.0113213
58.45,0.00342664
20.92,0.277992
145.77,4.464e-06
146.08,0.300232
125.49,0.00143282
100.67,0.00539021
96.54,0.180355
87.12,0.177603
64.88,0.288133
116.1,0.0178299
58.45,0.023539
20.92,0.191552
145.77,0.193737
146.08,0.008223
125.49,4.464e-06
100.67,0.0987601
96.54,0.00804074
87.12,0.300124
64.88,0.273137
116.1,0.0249902
58.45,0.297679
20.92,0.272702
145.77,0.000845595
146.08,0.0629039
125.49,0.126958
100.67,0.110879
96.54,0.0154452
87.12,0.00514902
64.88,0.257731
116.1,0.00268053
58.45,0.00245041
20.92,0.00581497
145.77,0.019261
146.08,0.0482002
125.49,0.109751
100.67,0.0167623
96.54,0.118403
87.12,0.000526794
64.88,0.314772
116.1,0.00290509
58.45,0.0330981
20.92,0.0171306
145.77,0.266956
146.08,0.301679
125.49,0.162128
100.67,0.205393
96.54,0.317918
87.12,0.290243
64.88,0.000302681
116.1,4.464e-06
58.45,4.464e-06
20.92,0.264252
145.77,0.0198016
146.08,0.0302862
125.49,0.000390817
100.67,0.00204428
96.54,0.296142
87.12,0.28188
64.88,0.250282
116.1,0.249938
58.45,0.249423
20.92,0.249414
145.77,4.44194e-06
146.08,0.294641
125.49,0.0306083
100.67,0.0884791
96.54,0.0661763
87.12,0.000463853
64.88,0.273807
116.1,0.00762642
58.45,0.000199026
20.92,0.00920793
145.77,0.0268607
146.08,0.0596022
125.49,0.00075882
100.67,0.00345623
96.54,0.00538558
87.12,0.22305
64.88,0.265284
116.1,0.00011956
58.45,0.0116451
20.92,0.27662
145.77,0.189491
146.08,0.108083
125.49,0.053991
100.67,0.00283098
96.54,0.000930385
87.12,0.00358838
64.88,0.268136
116.1,0.26769
58.45,0.260775
20.92,0.00758809
145.77,0.253174
146.08,0.239524
125.49,0.0162332
100.67,0.0344667
96.54,0.199531
87.12,0.0169116
64.88,0.273561
116.1,0.00548399
58.45,0.267591
20.92,0.174493
145.77,0.0986212
146.08,0.00524352
125.49,0.0657212
100.67,0.00715874
96.54,0.0872433
87.12,0.209716
64.88,0.0112786
116.1,0.299684
58.45,0.31054
20.92,3.73961e-05
145.77,0.276362
146.08,0.0312133
125.49,0.131879
100.67,0.137731
96.54,0.0206736
87.12,0.0388172
64.88,0.273601
116.1,0.273213
58.45,0.272631
20.92,0.272622
145.77,0.272566
146.08,0.00245815
125.49,0.013772
100.67,0.0476363
96.54,0.188968
87.12,0.233074
64.88,0.000401898
116.1,0.3209
58.45,0.0452934
20.92,0.0175138
145.77,0.168788
146.08,0.202488
125.49,0.188026
100.67,0.185125
96.54,0.283417
87.12,0.277348
64.88,0.253072
116.1,0.252763
58.45,4.464e-06
20.92,0.0274108
145.77,0.153413
146.08,0.105572
125.49,0.00545219
100.67,0.0140184
96.54,0.0206454
87.12,0.000725613
64.88,0.164442
116.1,0.166972
58.45,0.330878
20.92,0.28979
145.77,0.0600336
146.08,0.0519953
125.49,0.00440404
100.67,0.171953
96.54,0.13278
87.12,0.044224
64.88,0.25305
116.1,0.252709
58.45,0.262209
20.92,0.2622
145.77,4.464e-06
146.08,0.295205
125.49,0.0536568
100.67,0.0435727
96.54,0.00889903
87.12,0.0199847
64.88,0.301999
116.1,0.000609398
58.45,0.0349677
20.92,0.266018
145.77,4.464e-06
146.08,0.272803
125.49,0.151541
100.67,0.176417
96.54,0.111404
87.12,0.277076
64.88,0.241628
116.1,0.241247
58.45,0.269905
20.92,0.0168252
145.77,0.00145974
146.08,0.10491
125.49,0.00288467
100.67,0.00250125
96.54,0.0175566
87.12,0.0694846
64.88,0.246777
116.1,0.0439274
58.45,0.0376
20.92,0.0190666
145.77,0.00289813
146.08,0.00854816
