User,LostPackets
1,5402
2,5942
3,6000
4,5795
5,5628
6,5
7,4255
8,5097
9,5122
10,4
11,5667
12,4
13,5013
14,5229
15,5821
16,3032
17,5431
18,6000
19,6000
20,6000
1,4154
2,6000
3,6000
4,6000
5,6000
6,5739
7,4916
8,5621
9,5619
10,5802
11,5930
12,5931
13,6
14,5620
15,5984
16,5968
17,4497
18,6000
19,6000
20,5659
1,5946
2,6000
3,5994
4,5993
5,6000
6,5599
7,5461
8,3
9,5456
10,5390
11,5965
12,4543
13,3
14,3
15,5923
16,3522
17,3861
18,6000
19,6000
20,5990
1,5963
2,6000
3,5821
4,5996
5,6000
6,5700
7,5565
8,4758
9,5561
10,5510
11,5949
12,3
13,2
14,3929
15,3888
16,5958
17,5954
18,6000
19,6000
20,5948
1,5740
2,5725
3,5990
4,6000
5,5943
6,7
7,1910
8,7
9,5292
10,7
11,5344
12,5563
13,4053
14,4053
15,5891
16,5980
17,5958
18,5997
19,6000
20,6000
1,4011
2,5896
3,6000
4,6000
5,5966
6,5054
7,5564
8,5576
9,5261
10,8
11,6000
12,5394
13,5582
14,5649
15,5938
16,4011
17,5959
18,6000
19,6000
20,6000
1,5784
2,5843
3,5994
4,5985
5,6000
6,3
7,3
8,5590
9,5393
10,5576
11,3546
12,3
13,3
14,5493
15,5949
16,5953
17,5938
18,5998
19,5997
20,5993
1,5490
2,5977
3,6000
4,6000
5,5076
6,5
7,5308
8,831
9,4979
10,4925
11,6000
12,5247
13,2713
14,4553
15,5896
16,5490
17,5928
18,6000
19,6000
20,6000
1,5959
2,5995
3,6000
4,6000
5,5946
6,5591
7,5537
8,5540
9,3
10,3
11,3984
12,5469
13,5522
14,5557
15,5776
16,5960
17,3772
18,6000
19,6000
20,6000
1,5952
2,6000
3,6000
4,6000
5,6000
6,5455
7,5529
8,5529
9,4
10,5285
11,5956
12,147
13,147
14,4
15,5016
16,5954
17,4138
18,6000
19,6000
20,6000
1,5697
2,5979
3,5986
4,6000
5,5349
6,5
7,5
8,3913
9,5
10,3887
11,500
12,3908
13,4919
14,4123
15,5250
16,5925
17,5809
18,5552
19,6000
20,6000
1,5704
2,5776
3,6000
4,5803
5,3811
6,5751
7,5589
8,3
9,5600
10,3
11,5954
12,5671
13,5575
14,3
15,5883
16,5963
17,5827
18,6000
19,6000
20,6000
1,5963
2,6000
3,6000
4,5995
5,6000
6,8
7,5591
8,5617
9,5430
10,5474
11,5848
12,5430
13,5
14,5614
15,5812
16,5960
17,5962
18,6000
19,6000
20,5998
1,5944
2,6000
3,6000
4,6000
5,6000
6,4981
7,5522
8,5322
9,5322
10,4586
11,6000
12,5523
13,2700
14,2700
15,5953
16,5952
17,5951
18,6000
19,6000
20,6000
1,5843
2,5990
3,6000
4,6000
5,5927
6,5353
7,3440
8,671
9,4
10,5144
11,6000
12,5205
13,3440
14,5463
15,5919
16,5945
17,3727
18,6000
19,6000
20,6000
1,3881
2,5985
3,6000
4,5817
5,5459
6,5665
7,3
8,4754
9,3
10,3924
11,5910
12,5564
13,3924
14,3
15,5953
16,5953
17,5976
18,6000
19,6000
20,6000
1,5961
2,5751
3,5999
4,6000
5,5995
6,4
7,5531
8,4745
9,4
10,4
11,5970
12,5564
13,569
14,2855
15,5966
16,3877
17,5804
18,5997
19,6000
20,6000
1,5964
2,6000
3,6000
4,6000
5,4181
6,4619
7,3
8,5602
9,5612
10,3
11,5792
12,7
13,5609
14,5339
15,5507
16,5355
17,5943
18,6000
19,6000
20,6000
1,3983
2,5998
3,6000
4,5989
5,4928
6,5674
7,5583
8,3
9,5575
10,5645
11,5945
12,5652
13,2
14,4023
15,5797
16,3983
17,5960
18,6000
19,6000
20,6000
1,2703
2,6000
3,6000
4,5999
5,6000
6,5
7,4996
8,4996
9,5173
10,5182
11,5843
12,5321
13,3
14,5170
15,5897
16,5801
17,5892
18,6000
19,6000
20,6000
