User,Throughput
125.49,10.2059
100.67,0.989867
96.54,0.0
87.12,3.49867
64.88,0.63488
116.1,10.2315
58.45,2.97813
20.92,1.54112
145.77,1.49845
146.08,10.2332
,0.56832
,10.2332
,1.68448
,1.31584
,3.05493
,50.6539
,9.71093
,0.0
,0.0
,0.0
125.49,31.5051
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.44544
58.45,1.85003
20.92,0.646827
145.77,0.65024
146.08,0.33792
,0.119467
,0.11776
,10.2298
,0.648533
,0.273067
,0.546133
,25.6512
,0.0
,0.0
,5.81973
125.49,0.9216
100.67,0.0
96.54,0.1024
87.12,0.119467
64.88,0.0
116.1,0.684373
58.45,0.919893
20.92,10.2349
145.77,0.928427
146.08,1.04027
,0.0597333
,2.48661
,10.2349
,10.2349
,1.31413
,42.2912
,36.5056
,0.0
,0.0
,0.170667
125.49,0.631467
100.67,0.0
96.54,3.05493
87.12,0.0682667
64.88,0.0
116.1,0.512
58.45,0.7424
20.92,2.11968
145.77,0.749227
146.08,0.836267
,0.08704
,10.2349
,10.2366
,3.53451
,36.0448
,0.7168
,0.785067
,0.0
,0.0
,0.887467
125.49,4.43733
100.67,4.69333
96.54,0.170667
87.12,0.0
64.88,0.09728
116.1,10.2281
58.45,6.98027
20.92,10.2281
145.77,1.20832
146.08,10.2281
,1.11957
,0.745813
,3.32288
,3.32288
,1.86027
,0.341333
,0.7168
,0.0512
,0.0
,0.0
125.49,33.9456
100.67,1.77493
96.54,0.0
87.12,0.0
64.88,0.0580267
116.1,1.61451
58.45,0.744107
20.92,0.723627
145.77,1.26123
146.08,10.2263
,0.0
,1.03424
,0.713387
,0.59904
,1.05813
,33.9456
,0.699733
,0.0
,0.0
,0.0
125.49,3.6864
100.67,2.67947
96.54,0.1024
87.12,0.256
64.88,0.0
116.1,10.2349
58.45,10.2349
20.92,0.699733
145.77,1.03595
146.08,0.723627
,4.18816
,10.2349
,10.2349
,0.86528
,0.8704
,0.802133
,1.05813
,0.0341333
,0.0512
,0.119467
125.49,8.704
100.67,0.392533
96.54,0.0
87.12,0.0
64.88,1.57696
116.1,10.2315
58.45,1.18101
20.92,8.82176
145.77,1.74251
146.08,1.83467
,0.0
,1.28512
,5.60981
,2.46955
,1.77493
,8.704
,1.2288
,0.0
,0.0
,0.0
125.49,0.699733
100.67,0.0853333
96.54,0.0
87.12,0.0
64.88,0.09216
116.1,0.698027
58.45,0.790187
20.92,0.785067
145.77,10.2349
146.08,10.2349
,3.44064
,0.90624
,0.815787
,0.756053
,3.82293
,0.682667
,38.0245
,0.0
,0.0
,0.0
125.49,0.8192
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,0.930133
58.45,0.80384
20.92,0.80384
145.77,10.2332
146.08,1.22027
,0.0750933
,9.98912
,9.98912
,10.2332
,16.7936
,0.785067
,31.7781
,0.0
,0.0
,0.0
125.49,5.1712
100.67,0.3584
96.54,0.238933
87.12,0.0
64.88,1.11104
116.1,10.2315
58.45,10.2315
20.92,3.56181
145.77,10.2315
146.08,3.60619
,9.38667
,3.57035
,1.84491
,3.20341
,12.8
,1.28
,3.25973
,7.64587
,0.0
,0.0
125.49,5.05173
100.67,3.82293
96.54,0.0
87.12,3.36213
64.88,3.73589
116.1,0.42496
58.45,0.70144
20.92,10.2349
145.77,0.682667
146.08,10.2349
,0.0785067
,0.561493
,0.725333
,10.2349
,1.9968
,0.631467
,2.95253
,0.0
,0.0
,0.0
125.49,0.631467
100.67,0.0
96.54,0.0
87.12,0.0853333
64.88,0.0
116.1,10.2263
58.45,0.698027
20.92,0.653653
145.77,0.9728
146.08,0.897707
,0.259413
,0.9728
,10.2315
,0.658773
,3.20853
,0.682667
,0.648533
,0.0
,0.0
,0.0341333
125.49,0.955733
100.67,0.0
96.54,0.0
87.12,0.0
64.88,0.0
116.1,1.73909
58.45,0.815787
20.92,1.15712
145.77,1.15712
146.08,2.41323
,0.0
,0.81408
,5.632
,5.632
,0.802133
,0.8192
,0.836267
,0.0
,0.0
,0.0
125.49,2.67947
100.67,0.170667
96.54,0.0
87.12,0.0
64.88,0.124587
116.1,1.10421
58.45,4.36907
20.92,9.09483
145.77,10.2332
146.08,1.46091
,0.0
,1.3568
,4.36907
,0.91648
,1.3824
,0.938667
,38.7925
,0.0
,0.0
,0.0
125.49,36.1643
100.67,0.256
96.54,0.0
87.12,3.1232
64.88,0.923307
116.1,0.571733
58.45,10.2349
20.92,2.12651
145.77,10.2349
146.08,3.54304
,0.1536
,0.744107
,3.54304
,10.2349
,0.802133
,0.802133
,0.4096
,0.0
,0.0
,0.0
125.49,0.6656
100.67,4.2496
96.54,0.0170667
87.12,0.0
64.88,0.00853333
116.1,10.2332
58.45,0.800427
20.92,2.14187
145.77,10.2332
146.08,10.2332
,0.0512
,0.744107
,9.26891
,5.36747
,0.580267
,36.2325
,3.34507
,0.0512
,0.0
,0.0
125.49,0.6144
100.67,0.0
96.54,0.0
87.12,0.0
64.88,3.10443
116.1,2.35691
58.45,10.2349
20.92,0.679253
145.77,0.662187
146.08,10.2349
,0.354987
,10.2281
,0.667307
,1.12811
,8.41387
,11.008
,0.9728
,0.0
,0.0
,0.0
125.49,34.4235
100.67,0.0341333
96.54,0.0
87.12,0.187733
64.88,1.82955
116.1,0.556373
58.45,0.71168
20.92,10.2349
145.77,0.725333
146.08,0.605867
,0.0938667
,0.59392
,10.2366
,3.37408
,3.46453
,34.4235
,0.682667
,0.0
,0.0
,0.0
125.49,56.2688
100.67,0.0
96.54,0.0
87.12,0.0170667
64.88,0.0
116.1,10.2315
58.45,1.71349
20.92,1.71349
145.77,1.41141
146.08,1.39605
,0.267947
,1.15883
,10.2349
,1.41653
,1.75787
,3.39627
,1.8432
,0.0
,0.0
,0.0
