NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,98.4841,122.069,1.5,156.851
UE,2,90.1793,131.053,1.5,159.09
UE,3,106.754,98.3858,1.5,145.184
UE,4,21.6254,43.6972,1.5,48.7786
UE,5,46.5187,147.321,1.5,154.498
UE,6,116.956,123.566,1.5,170.146
UE,7,96.6445,119.868,1.5,153.983
UE,8,149.079,56.9625,1.5,159.598
UE,9,126.112,22.7467,1.5,128.156
UE,10,76.6732,93.5807,1.5,120.989
UE,11,142.544,110.462,1.5,180.341
UE,12,122.087,124.266,1.5,174.211
UE,13,99.134,102.796,1.5,142.818
UE,14,134.379,25.4884,1.5,136.783
UE,15,134.026,24.13,1.5,136.189
UE,16,93.4254,149.596,1.5,176.378
UE,17,76.8034,67.8879,1.5,102.517
UE,18,85.413,139.582,1.5,163.649
UE,19,57.8498,108.951,1.5,123.366
UE,20,132.162,23.9597,1.5,134.325
