User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.301682,0.802133,561.371,5953,0.301682
2,0.301114,0.699733,1295.36,5959,0.000567356
3,0,0,1008.18,6000,0.301114
4,0,0,1593.45,6000,0
5,0.252786,1.63328,561.759,5043,0.252786
6,0.273233,0.841387,1892.4,5507,0.0204476
7,0.272143,1.23392,474.896,5277,0.00109078
8,0.133988,5.63883,1199.53,2696,0.138154
9,0.27432,0.790187,923.875,5537,0.140332
10,0,0,717.167,6000,0.27432
11,0.164041,4.62507,1153.06,3290,0.164041
12,0.00044117,10.2332,1287.04,4,0.1636
13,0.265063,1.15883,1056.01,5321,0.264622
14,0.276796,0.841387,1323.65,5507,0.0117327
15,0.292572,0.128,912.645,5925,0.0157758
16,0.301617,0.802133,917.797,5953,0.00904517
17,0.301625,0.802133,848.15,5953,8.4537e-06
18,0,0,623.786,6000,0.301625
19,0,0,1159.65,6000,0
20,0,0,1251.36,6000,0
21,0,0,667.369,6000,0
