User,Throughput
151.17,0.00864
90.04,0.100
51.55,32.4197
66.43,0.57013
154.13,0.2458
91.84,1.99701
151.17,0.64352
90.04,0.0136533
51.55,0.5872
66.43,0.5872
154.13,5.2298
91.84,1.21867
151.17,5.2366
90.04,7.0117
51.55,6.2128
66.43,51.349
154.13,10.2366
91.84,10.2246
151.17,10.2349
90.04,1.536
51.55,0.938667
66.43,0.0
154.13,0.00512
91.84,0.00170667
151.17,0.0
90.04,60.3477
51.55,1.50187
66.43,0.0
154.13,3.79733
91.84,1.47456
151.17,1.41653
90.04,0.904533
51.55,7.2704
66.43,1.7408
154.13,1.62645
91.84,4.37077
151.17,4.91861
90.04,77.9605
51.55,77.9605
66.43,1.9456
154.13,1.83808
91.84,1.90635
151.17,10.2246
90.04,10.6325
51.55,3.60107
66.43,2.56
154.13,2.37056
91.84,3.52256
151.17,0.0341333
90.04,0.0
51.55,0.0
66.43,0.904533
154.13,10.2332
91.84,10.2332
151.17,0.6656
90.04,0.0
51.55,63.4027
66.43,0.170667
154.13,2.26816
91.84,10.2298
