User,LostPackets
151.17,5609
90.04,6200
51.55,2484
66.43,6208
154.13,6200
91.84,3858
151.17,5237
90.04,6292
51.55,6307
66.43,6207
154.13,8
91.84,4900
151.17,4
90.04,5179
51.55,5343
66.43,3
154.13,2
91.84,9
151.17,3
90.04,5910
51.55,5945
66.43,6000
154.13,5997
91.84,5999
151.17,6000
90.04,2464
51.55,5912
66.43,6000
154.13,3775
91.84,5136
151.17,5170
90.04,5947
51.55,5574
66.43,5898
154.13,5047
91.84,3439
151.17,3118
90.04,1432
51.55,1432
66.43,5886
154.13,4923
91.84,4883
151.17,9
90.04,5377
51.55,5789
66.43,5850
154.13,4611
91.84,3936
151.17,5980
90.04,6000
51.55,6000
66.43,5947
154.13,4
91.84,4
151.17,5610
90.04,6000
51.55,2285
66.43,5990
154.13,4671
91.84,6
