User,EnergyConsumption
1,1142.71
2,405.44
3,132.906
4,220.664
5,1187.92
6,421.797
1,678.946
2,1687.42
3,949.874
4,522.331
5,1324.64
6,1708.01
1,167.82
2,348.774
3,574.724
4,479.183
5,121.357
6,352.912
1,1960.91
2,754.02
3,976.548
4,1240.43
5,998.433
6,1361.08
1,154.518
2,473.77
3,1022.78
4,476.512
5,1205.2
6,621.662
1,581.644
2,466.82
3,260.293
4,185.131
5,731.095
6,715.073
1,268.071
2,16.8546
3,1450.11
4,633.593
5,512.961
6,904.557
1,1461.23
2,163.271
3,209.229
4,371.153
5,184.138
6,651.24
1,1261.9
2,1012.89
3,383.18
4,1000.42
5,515.687
6,1088.48
1,220.912
2,1532.08
3,130.242
4,98.6604
5,1103.33
6,949.809
