User,Delay
1,0.000272332
2,0.000295283
3,0.000317942
4,0.000317095
1,0.00027665
2,0.000276328
3,0.000351438
4,0.000320721
1,0.000271498
2,0.000275967
3,0.000384888
4,0.0770864
1,0.000280302
2,0.000336681
3,0.000314009
4,0.0438882
1,0.000276104
2,0.000280573
3,0.000298736
4,0.000325358
1,0.000271529
2,0.000280824
3,0.207885
4,0.000320395
1,0.000271498
2,0.000341113
3,0.238908
4,0.036053
1,0.000271498
2,0.00028937
3,0.000435684
4,0.000320542
1,0.000271498
2,0.000275967
3,0.200083
4,0.00038315
1,0.00027204
2,0.000276508
3,0.000296553
4,0.000299021
1,0.000271498
2,0.000275967
3,0.000289495
4,0.000298407
1,0.00027596
2,0.000280428
3,0.000289476
4,0.000358585
1,0.000271498
2,0.000275967
3,0.000294011
4,0.000363098
1,0.000271498
2,0.000275967
3,0.000285007
4,0.000302909
1,0.000364143
2,0.000803124
3,0.000414621
4,0.000419423
