User,EnergyConsumption
1,890.43
2,366.871
3,1797.83
4,1189.79
1,618.222
2,750.689
3,623.198
4,171.299
1,872.821
2,946.238
3,541.477
4,1141.25
1,1570.14
2,691.136
3,645.697
4,1430.0
1,818.901
2,830.99
3,162.469
4,1136.87
1,775.961
2,1285.26
3,626.797
4,1421.82
1,419.979
2,1165.18
3,750.802
4,551.973
1,222.708
2,573.309
3,1010.95
4,152.969
1,621.762
2,1323.52
3,384.778
4,220.49
1,4.83608
2,546.088
3,36.54
4,935.295
1,868.42
2,350.998
3,293.649
4,51.2678
1,699.667
2,146.551
3,97.0261
4,1449.58
1,934.854
2,1055.41
3,68.0935
4,545.232
1,429.198
2,105.492
3,81.0991
4,387.034
1,603.674
2,40.8237
3,1116.81
4,855.588
