User,Jitter
1,0.000272214
2,2.29508e-05
3,2.26592e-05
4,8.46943e-07
1,0.000276532
2,3.21763e-07
3,7.51092e-05
4,3.07161e-05
1,0.00027138
2,4.46847e-06
3,0.000108922
4,0.0767015
1,0.000280184
2,5.63789e-05
3,2.26723e-05
4,0.0435742
1,0.000275986
2,4.46847e-06
3,1.81636e-05
4,2.66214e-05
1,0.000271411
2,9.29419e-06
3,0.207604
4,0.207564
1,0.00027138
2,6.96149e-05
3,0.238567
4,0.202855
1,0.00027138
2,1.78718e-05
3,0.000146314
4,0.000115142
1,0.00027138
2,4.46847e-06
3,0.199807
4,0.1997
1,0.000271922
2,4.46847e-06
3,2.00443e-05
4,2.46798e-06
1,0.00027138
2,4.46847e-06
3,1.35284e-05
4,8.91237e-06
1,0.000275842
2,4.46847e-06
3,9.04801e-06
4,6.91085e-05
1,0.00027138
2,4.46847e-06
3,1.80445e-05
4,6.9087e-05
1,0.00027138
2,4.46847e-06
3,9.04039e-06
4,1.79023e-05
1,0.000364025
2,0.000438982
3,0.000388503
4,4.80221e-06
