User,Delay,Throughput,EnergyConsumption,LostPackets,DeviceType,Distance
1,0.000272332,10.2366,890.43,2,IoT,133.449
2,0.000295283,10.2349,366.871,3,IoT,85.6587
3,0.000317942,102.349,1797.83,3,Smartphone,189.622
4,0.000317095,102.349,1189.79,3,Smartphone,154.259
1,0.00027665,10.2366,618.222,2,IoT,111.195
2,0.000276328,10.2366,750.689,2,IoT,122.531
3,0.000351438,102.349,623.198,3,Smartphone,111.642
4,0.000320721,102.349,171.299,3,Smartphone,58.5318
1,0.000271498,10.2366,872.821,2,IoT,132.123
2,0.000275967,10.2366,946.238,2,IoT,137.567
3,0.000384888,102.332,541.477,4,Smartphone,104.065
4,0.0770864,76.2709,1141.25,1531,Smartphone,151.079
1,0.000280302,10.2366,1570.14,2,IoT,177.208
2,0.000336681,10.2366,691.136,2,IoT,117.57
3,0.000314009,102.349,645.697,3,Smartphone,113.64
4,0.0438882,88.1664,1430.0,834,Smartphone,169.115
1,0.000276104,10.2366,818.901,2,IoT,127.977
2,0.000280573,10.2366,830.99,2,IoT,128.918
3,0.000298736,102.349,162.469,3,Smartphone,57.0034
4,0.000325358,102.349,1136.87,3,Smartphone,150.789
1,0.000271529,10.2366,775.961,2,IoT,124.576
2,0.000280824,10.2366,1285.26,2,IoT,160.329
3,0.207885,31.5904,626.797,4149,Smartphone,111.964
4,0.000320395,102.349,1421.82,3,Smartphone,168.631
1,0.000271498,10.2366,419.979,2,IoT,91.6492
2,0.000341113,10.2349,1165.18,3,IoT,152.655
3,0.238908,20.9579,750.802,4772,Smartphone,122.54
4,0.036053,90.2315,551.973,713,Smartphone,105.069
1,0.000271498,10.2366,222.708,2,IoT,66.7395
2,0.00028937,10.2349,573.309,3,IoT,107.08
3,0.000435684,102.332,1010.95,4,Smartphone,142.193
4,0.000320542,102.349,152.969,3,Smartphone,55.3116
1,0.000271498,10.2366,621.762,2,IoT,111.513
2,0.000275967,10.2366,1323.52,2,IoT,162.697
3,0.200083,34.2699,384.778,3992,Smartphone,87.7244
4,0.00038315,102.349,220.49,3,Smartphone,66.4064
1,0.00027204,10.2366,4.83608,2,IoT,9.83471
2,0.000276508,10.2366,546.088,2,IoT,104.507
3,0.000296553,102.349,36.54,3,Smartphone,27.0333
4,0.000299021,102.349,935.295,3,Smartphone,136.77
1,0.000271498,10.2366,868.42,2,IoT,131.789
2,0.000275967,10.2366,350.998,2,IoT,83.7852
3,0.000289495,102.349,293.649,3,Smartphone,76.6354
4,0.000298407,102.349,51.2678,3,Smartphone,32.0212
1,0.00027596,10.2366,699.667,2,IoT,118.293
2,0.000280428,10.2366,146.551,2,IoT,54.1389
3,0.000289476,102.349,97.0261,3,Smartphone,44.0513
4,0.000358585,102.349,1449.58,3,Smartphone,170.269
1,0.000271498,10.2366,934.854,2,IoT,136.737
2,0.000275967,10.2366,1055.41,2,IoT,145.286
3,0.000294011,102.349,68.0935,3,Smartphone,36.9035
4,0.000363098,102.349,545.232,3,Smartphone,104.425
1,0.000271498,10.2366,429.198,2,IoT,92.6496
2,0.000275967,10.2366,105.492,2,IoT,45.9331
3,0.000285007,102.366,81.0991,2,Smartphone,40.2738
4,0.000302909,102.349,387.034,3,Smartphone,87.9812
1,0.000364143,10.2366,603.674,2,IoT,109.879
2,0.000803124,10.2263,40.8237,8,IoT,28.574
3,0.000414621,102.349,1116.81,3,Smartphone,149.453
4,0.000419423,102.349,855.588,3,Smartphone,130.812
