User,Throughput
1,10.2366
2,10.2349
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.332
4,76.2709
1,10.2366
2,10.2366
3,102.349
4,88.1664
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,31.5904
4,102.349
1,10.2366
2,10.2349
3,20.9579
4,90.2315
1,10.2366
2,10.2349
3,102.332
4,102.349
1,10.2366
2,10.2366
3,34.2699
4,102.349
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.366
4,102.349
1,10.2366
2,10.2263
3,102.349
4,102.349
