User,EnergyConsumption
151.17,1440.696
90.04,1640.801
51.55,500.845
66.43,532.831
154.13,225.855
91.84,1302.723
151.17,1300.9212
90.04,104.7094
51.55,448.041
66.43,2880.06
154.13,1240.553
91.84,170.3799
151.17,821.483
90.04,146.205
51.55,780.621
66.43,496.785
154.13,826.148
91.84,1511.29
151.17,258.027
90.04,1362.51
51.55,517.927
66.43,1513.47
154.13,627.974
91.84,1015.25
151.17,248.075
90.04,436.585
51.55,1215.52
66.43,914.445
154.13,1631.82
91.84,480.952
151.17,78.7971
90.04,601.958
51.55,1182.49
66.43,59.7174
154.13,1150.78
91.84,144.998
151.17,1233.33
90.04,253.105
51.55,346.49
66.43,1637.66
154.13,213.759
91.84,1673.82
151.17,267.803
90.04,341.386
51.55,1018.89
66.43,13.4623
154.13,740.566
91.84,967.303
151.17,814.909
90.04,1003.16
51.55,40.0772
66.43,1219.66
154.13,1314.82
91.84,662.424
151.17,273.567
90.04,1646.25
51.55,1136.5
66.43,978.701
154.13,962.01
91.84,239.589
