User,Throughput
151.17,1.74635
90.04,0.0992
51.55,21.1387
66.43,0.13333
154.13,1.18293
91.84,3.2332
151.17,3.2281
90.04,6.5248
51.55,0.30427
66.43,16.2389
154.13,3.2281
91.84,1.07403
151.17,1.51723
90.04,62.0715
51.55,1.55307
66.43,0.0
154.13,0.91648
91.84,1.52064
151.17,1.26464
90.04,0.0
51.55,0.0
66.43,0.8192
154.13,1.42336
91.84,1.53259
151.17,0.0
90.04,1.51893
51.55,0.648533
66.43,1.51893
154.13,10.2332
91.84,0.0
151.17,4.73259
90.04,3.49867
51.55,36.2667
66.43,102.349
154.13,10.2349
91.84,10.2349
151.17,3.99189
90.04,2.2528
51.55,1.5872
66.43,1.5872
154.13,1.47797
91.84,2.2016
151.17,1.69643
90.04,1.7408
51.55,69.2736
66.43,1.7408
154.13,1.61621
91.84,1.69472
151.17,10.2349
90.04,83.4731
51.55,0.0
66.43,1.72373
154.13,3.40309
91.84,10.2349
151.17,1.50699
90.04,0.0
51.55,56.9515
66.43,61.6448
154.13,1.46944
91.84,0.48128
