User,Delay,Throughput,EnergyConsumption,LostPackets,DeviceType,Distance
1,0.000364882,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.000364882,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.000364882,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.00036506,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.00036506,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.000364882,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.000364972,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.00039339,102.349,0.05,3,IoT,14.0446
2,0.000277885,10.2366,0.05,2,Smartphone,22.2991
3,0.000286928,10.2366,0.05,2,Smartphone,31.5793
1,0.000365562,102.349,0.05,3,IoT,14.0446
2,0.000276269,10.2366,0.05,2,Smartphone,22.2991
3,0.000287847,10.2366,0.05,2,Smartphone,31.5793
1,0.000365104,102.349,0.05,3,IoT,14.0446
2,0.000276133,10.2366,0.05,2,Smartphone,22.2991
3,0.000285024,10.2366,0.05,2,Smartphone,31.5793
1,0.000365082,102.349,0.05,3,IoT,14.0446
2,0.000276097,10.2366,0.05,2,Smartphone,22.2991
3,0.000285019,10.2366,0.05,2,Smartphone,31.5793
1,0.000365071,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.000364893,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.000364972,102.349,0.05,3,IoT,14.0446
2,0.000276087,10.2366,0.05,2,Smartphone,22.2991
3,0.00028502,10.2366,0.05,2,Smartphone,31.5793
1,0.000365082,102.349,0.05,3,IoT,14.0446
2,0.000276097,10.2366,0.05,2,Smartphone,22.2991
3,0.000285019,10.2366,0.05,2,Smartphone,31.5793
