User,Delay
1,0.31822
2,0.0
3,0.114955
4,0.308248
5,0.0
6,0.18345
1,0.252206
2,0.3985
3,0.298666
4,0.298897
5,0.000490701
6,0.236343
1,0.000368107
2,0.260237
3,0.268509
4,0.000442261
5,0.000350437
6,0.00092933
1,0.000520415
2,0.296565
3,0.360296
4,0.0
5,0.311521
6,0.102421
1,0.0
2,0.123489
3,0.296
4,0.0
5,0.189251
6,0.256902
1,0.288351
2,0.330737
3,0.279028
4,0.297523
5,0.251918
6,0.171914
1,0.15698
2,0.0729657
3,0.0729746
4,0.295954
5,0.247986
6,0.24559
1,0.000734845
2,0.269974
3,0.290259
4,0.294067
5,0.23204
6,0.197666
1,0.318376
2,0.0
3,0.0
4,0.378609
5,0.000427316
6,0.000424363
1,0.322403
2,0.0
3,0.115049
4,0.301893
5,0.234363
6,0.000495891
