User,Delay
151.17,0.133394
90.04,0.294482
51.55,0.0539674
66.43,0.296022
154.13,0.207272
91.84,0.000426348
151.17,0.000471996
90.04,0.22902
51.55,0.294608
66.43,0.110635
154.13,0.000454797
91.84,0.124696
151.17,0.255184
90.04,0.118094
51.55,0.295987
66.43,0.0
154.13,0.319284
91.84,0.255055
151.17,0.241026
90.04,0.262566
51.55,0.151278
66.43,0.355904
154.13,0.257329
91.84,0.256511
151.17,0.0035659
90.04,0.297697
51.55,0.332549
66.43,0.298226
154.13,0.00055323
91.84,0.0248653
151.17,0.161805
90.04,0.29028
51.55,0.19435
66.43,0.000460813
154.13,0.000475236
91.84,0.000373662
151.17,0.183127
90.04,0.294428
51.55,0.297869
66.43,0.297881
154.13,0.256632
91.84,0.235578
151.17,0.266042
90.04,0.29675
51.55,0.0970404
66.43,0.297708
154.13,0.252306
91.84,0.250369
151.17,0.000515537
90.04,0.0564432
51.55,0.0
66.43,0.296354
154.13,0.203307
91.84,0.000509582
151.17,0.25643
90.04,0.0
51.55,0.133821
66.43,0.120009
154.13,0.256792
91.84,0.320197
