User,EnergyConsumption
1,623.696
2,809.801
3,340.845
4,262.831
5,142.855
6,765.723
1,33.9212
2,53.7094
3,225.041
4,1441.06
5,613.553
6,83.3799
1,821.483
2,146.205
3,780.621
4,496.785
5,826.148
6,1511.29
1,258.027
2,1362.51
3,517.927
4,1513.47
5,627.974
6,1015.25
1,248.075
2,436.585
3,1215.52
4,914.445
5,1631.82
6,480.952
1,78.7971
2,601.958
3,1182.49
4,59.7174
5,1150.78
6,144.998
1,1233.33
2,253.105
3,346.49
4,1637.66
5,213.759
6,1673.82
1,267.803
2,341.386
3,1018.89
4,13.4623
5,740.566
6,967.303
1,814.909
2,1003.16
3,40.0772
4,1219.66
5,1314.82
6,662.424
1,273.567
2,1646.25
3,1136.5
4,978.701
5,962.01
6,239.589
