User,Jitter
1,0.132967
2,0.161088
3,0.240515
4,0.242054
5,0.207272
6,0.206846
1,0.124224
2,0.228548
3,0.0655882
4,0.183973
5,0.000454679
6,0.124241
1,0.000128657
2,0.13709
3,0.177893
4,0.295987
5,0.319283
6,0.0642282
1,0.0154844
2,0.241026
3,0.0
4,0.355904
5,0.257329
6,0.000818179
1,0.0
2,0.297697
3,0.0348526
4,0.034323
5,0.000553112
6,0.00055323
1,0.161431
2,0.128475
3,0.0959301
4,0.193889
5,0.000475118
6,0.000101573
1,0.0524503
2,0.111301
3,0.00344083
4,1.20488e-05
5,0.256632
6,0.0210543
1,0.0156724
2,0.0307084
3,0.19971
4,0.200668
5,0.252306
6,0.0019366
1,5.95572e-06
2,0.0559277
3,0.0564432
4,0.296354
5,0.203306
6,0.202797
1,0.0637676
2,0.25643
3,0.133821
4,0.0138124
5,0.256792
6,0.0634049
