User,LostPackets
151.17,2633
90.04,5877
51.55,1070
66.43,5875
154.13,4135
91.84,4
151.17,7
90.04,4563
51.55,5906
66.43,2236
154.13,7
91.84,2441
151.17,5111
90.04,2363
51.55,5909
66.43,6000
154.13,5463
91.84,5109
151.17,5259
90.04,6000
51.55,6000
66.43,5952
154.13,5166
91.84,5102
151.17,6000
90.04,5911
51.55,5962
66.43,5911
154.13,4
91.84,6000
151.17,3227
90.04,5795
51.55,3875
66.43,3
154.13,3
91.84,3
151.17,3661
90.04,5868
51.55,5907
66.43,5907
154.13,5134
91.84,4710
151.17,5006
90.04,5898
51.55,1941
66.43,5898
154.13,5053
91.84,5007
151.17,3
90.04,1109
51.55,6000
66.43,5899
154.13,4006
91.84,3
151.17,5117
90.04,6000
51.55,2663
66.43,2388
154.13,5139
91.84,5718
