User,Throughput
1,3.74635
2,1.0992
3,42.1387
4,1.13333
5,2.18293
6,5.2332
1,5.2281
2,12.5248
3,0.60427
4,32.2389
5,5.2281
6,3.07403
1,1.51723
2,62.0715
3,1.55307
4,0.0
5,0.91648
6,1.52064
1,1.26464
2,0.0
3,0.0
4,0.8192
5,1.42336
6,1.53259
1,0.0
2,1.51893
3,0.648533
4,1.51893
5,10.2332
6,0.0
1,4.73259
2,3.49867
3,36.2667
4,102.349
5,10.2349
6,10.2349
1,3.99189
2,2.2528
3,1.5872
4,1.5872
5,1.47797
6,2.2016
1,1.69643
2,1.7408
3,69.2736
4,1.7408
5,1.61621
6,1.69472
1,10.2349
2,83.4731
3,0.0
4,1.72373
5,3.40309
6,10.2349
1,1.50699
2,0.0
3,56.9515
4,61.6448
5,1.46944
6,0.48128
