User,EnergyConsumption
1,199.728
2,549.167
3,1798.17
4,1081.85
1,102.123
2,982.808
3,696.601
4,754.492
1,547.38
2,472.23
3,350.78
4,673.935
1,329.849
2,53.053
3,1117.47
4,1252.06
1,776.083
2,268.474
3,563.453
4,119.615
1,627.216
2,42.797
3,113.157
4,1620.13
1,581.471
2,1276.78
3,701.453
4,111.582
1,601.391
2,829.983
3,383.359
4,602.535
1,404.182
2,23.032
3,986.952
4,366.268
1,1344.6
2,209.21
3,1269.49
4,1707.71
1,882.363
2,1305.37
3,309.813
4,984.249
1,1576.27
2,991.332
3,218.019
4,1069.65
1,357.715
2,1432.17
3,1200.75
4,1700.99
1,922.658
2,585.295
3,719.346
4,571.251
1,333.406
2,276.512
3,1547.21
4,552.376
