User,Throughput
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
1,102.349
2,10.2366
3,10.2366
