User,Delay
151.17,0.256575
90.04,0.351041
51.55,0.320623
66.43,0.222559
154.13,0.1
91.84,0.237777
151.17,0.25208
90.04,0.171159
51.55,0.43
66.43,0.306909
154.13,0.622978
91.84,0.255931
151.17,0.2653
90.04,0.1592
51.55,0.37856
66.43,0.2659
154.13,0.211
91.84,0.266014
151.17,0.1526
90.04,0.4525
51.55,0.0
66.43,0.318765
154.13,0.0
91.84,0.387104
151.17,0.265812
90.04,0.118451
51.55,0.0
66.43,0.0
154.13,0.0
91.84,0.0220126
151.17,0.000561442
90.04,0.0
51.55,0.298163
66.43,0.566733
154.13,0.0
91.84,0.0
151.17,0.000542246
90.04,0.0
51.55,0.156493
66.43,0.0
154.13,0.0
91.84,0.0
151.17,0.000402139
90.04,0.254895
51.55,0.000421274
66.43,0.288919
154.13,0.000426689
91.84,0.000339164
151.17,0.164554
90.04,0.286669
51.55,0.283532
66.43,0.000440015
154.13,0.000347782
91.84,0.000348504
151.17,0.0124937
90.04,0.298583
51.55,0.30172
66.43,0.318116
154.13,0.256947
91.84,0.254551
