User,LostPackets
151.17,6032
90.04,7996
51.55,8971
66.43,6444
154.13,6000
91.84,6373
151.17,6499
90.04,4695
51.55,9000
66.43,4954
154.13,8
91.84,6370
151.17,6000
90.04,3000
51.55,3000
66.43,3000
154.13,3000
91.84,5298
151.17,6000
90.04,6000
51.55,6000
66.43,5952
154.13,6000
91.84,5993
151.17,5102
90.04,2321
51.55,6000
66.43,6000
154.13,6000
91.84,392
151.17,5
90.04,6000
51.55,5913
66.43,5999
154.13,6000
91.84,6000
151.17,3
90.04,6000
51.55,3113
66.43,6000
154.13,6000
91.84,6000
151.17,3
90.04,5088
51.55,3
66.43,5750
154.13,3
91.84,2
151.17,3280
90.04,5737
51.55,5688
66.43,3
154.13,3
91.84,3
151.17,238
90.04,5905
51.55,5913
66.43,5906
154.13,5113
91.84,5070
