User,Throughput
1,1.50528
2,1.4336
3,0.989867
4,26.5557
5,0.0
6,2.14016
1,1.71008
2,44.544
3,0.0
4,1.55307
5,10.2332
6,2.1504
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.19808
1,0.0
2,0.0
3,0.0
4,0.8192
5,0.0
6,0.0112267
1,1.53259
2,62.7883
3,0.0
4,0.0
5,0.0
6,9.57099
1,10.2315
2,0.0
3,1.4848
4,0.00173333
5,0.0
6,0.0
1,10.2349
2,0.0
3,49.2715
4,0.0
5,0.0
6,0.0
1,10.2349
2,15.5648
3,102.349
4,4.26667
5,10.2349
6,10.2366
1,4.64213
2,4.48853
3,5.3248
4,102.349
5,10.2349
6,10.2349
1,9.83381
2,1.62133
3,1.4848
4,1.60427
5,1.51381
6,1.5872
