User,EnergyConsumption
1,1102.26
2,1753.85
3,842.028
4,881.565
1,1270.73
2,8.11073
3,493.16
4,969.203
1,1054.53
2,1038.77
3,1599.46
4,1645.65
1,453.594
2,27.421
3,588.629
4,869.154
1,1156.38
2,1756.96
3,1078.59
4,13.1611
1,670.83
2,1009.03
3,1585.19
4,65.879
1,961.777
2,161.808
3,1130.94
4,762.951
1,484.049
2,1353.62
3,298.758
4,72.6396
1,979.332
2,429.274
3,1030.41
4,653.771
1,666.53
2,1031.39
3,1111.56
4,1137.18
1,238.462
2,1041.62
3,771.043
4,36.2842
1,729.059
2,548.35
3,1167.66
4,260.96
1,512.451
2,445.083
3,284.232
4,171.112
1,517.643
2,30.1612
3,942.39
4,694.375
1,838.095
2,23.6417
3,1246.95
4,307.909
