User,Delay,Throughput,EnergyConsumption,LostPackets,DeviceType,Distance
1,0.000271498,10.2366,1102.26,2,IoT,148.476
2,0.000275967,10.2366,1753.85,2,IoT,187.289
3,0.000285007,102.366,842.028,2,Smartphone,129.771
4,0.0603228,81.9541,881.565,1198,Smartphone,132.783
1,0.000271498,10.2366,1270.73,2,IoT,159.42
2,0.000275967,10.2366,8.11073,2,IoT,12.7364
3,0.000285007,102.366,493.16,2,Smartphone,99.3137
4,0.0603213,81.9541,969.203,1198,Smartphone,139.227
1,0.000271498,10.2366,1054.53,2,IoT,145.226
2,0.000275967,10.2366,1038.77,2,IoT,144.137
3,0.223715,26.1973,1599.46,4465,Smartphone,178.855
4,0.224055,26.0608,1645.65,4473,Smartphone,181.419
1,0.000271498,10.2366,453.594,2,IoT,95.2464
2,0.000275967,10.2366,27.421,2,IoT,23.4184
3,0.000285007,102.366,588.629,2,Smartphone,108.502
4,0.000293941,102.349,869.154,3,Smartphone,131.845
1,0.000306494,10.2366,1156.38,2,IoT,152.078
2,0.000326998,10.2349,1756.96,3,IoT,187.454
3,0.205656,32.3755,1078.59,4103,Smartphone,146.874
4,0.000320463,102.349,13.1611,3,Smartphone,16.2241
1,0.000345375,10.2366,670.83,2,IoT,115.83
2,0.000995792,10.2281,1009.03,7,IoT,142.058
3,0.267956,11.6736,1585.19,5316,Smartphone,178.056
4,0.000401127,102.332,65.879,4,Smartphone,36.2985
1,0.0319408,8.96512,961.777,747,IoT,138.692
2,0.00043915,10.2298,161.808,6,IoT,56.8872
3,0.000580205,102.298,1130.94,6,Smartphone,150.395
4,0.166226,43.9125,762.951,3427,Smartphone,123.527
1,0.000272769,10.2366,484.049,2,IoT,98.3919
2,0.000292453,10.2366,1353.62,2,IoT,164.537
3,0.0644224,80.6571,298.758,1274,Smartphone,77.2991
4,0.000322,102.349,72.6396,3,Smartphone,38.1155
1,0.000316103,10.2349,979.332,3,IoT,139.952
2,0.000282214,10.2366,429.274,2,IoT,92.6579
3,0.000295752,102.349,1030.41,3,Smartphone,143.556
4,0.000304662,102.349,653.771,3,Smartphone,114.348
1,0.000333293,10.2366,666.53,2,IoT,115.458
2,0.000280547,10.2366,1031.39,2,IoT,143.624
3,0.227837,24.7637,1111.56,4549,Smartphone,149.101
4,0.228286,24.6955,1137.18,4553,Smartphone,150.81
1,0.00027949,10.2366,238.462,2,IoT,69.0597
2,0.000284573,10.2366,1041.62,2,IoT,144.334
3,0.000404267,102.315,771.043,5,Smartphone,124.181
4,0.000319995,102.349,36.2842,3,Smartphone,26.9385
1,0.000271498,10.2366,729.059,2,IoT,120.753
2,0.000280428,10.2366,548.35,2,IoT,104.723
3,0.000357644,102.349,1167.66,3,Smartphone,152.818
4,0.000320552,102.349,260.96,3,Smartphone,72.244
1,0.000271498,10.2366,512.451,2,IoT,101.237
2,0.000275967,10.2366,445.083,2,IoT,94.3486
3,0.000298468,102.349,284.232,3,Smartphone,75.3966
4,0.000307334,102.349,171.112,3,Smartphone,58.4998
1,0.000271498,10.2366,517.643,2,IoT,101.749
2,0.000275968,10.2366,30.1612,2,IoT,24.5606
3,0.00028501,102.366,942.39,2,Smartphone,137.287
4,0.000302911,102.349,694.375,3,Smartphone,117.845
1,0.00027596,10.2366,838.095,2,IoT,129.468
2,0.000293832,10.2349,23.6417,3,IoT,21.7447
3,0.000302868,102.349,1246.95,3,Smartphone,157.921
4,0.000311793,102.349,307.909,3,Smartphone,78.4741
