User,Throughput
1,10.2366
2,10.2366
3,102.366
4,81.9541
1,10.2366
2,10.2366
3,102.366
4,81.9541
1,10.2366
2,10.2366
3,26.1973
4,26.0608
1,10.2366
2,10.2366
3,102.366
4,102.349
1,10.2366
2,10.2349
3,32.3755
4,102.349
1,10.2366
2,10.2281
3,11.6736
4,102.332
1,8.96512
2,10.2298
3,102.298
4,43.9125
1,10.2366
2,10.2366
3,80.6571
4,102.349
1,10.2349
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,24.7637
4,24.6955
1,10.2366
2,10.2366
3,102.315
4,102.349
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.349
4,102.349
1,10.2366
2,10.2366
3,102.366
4,102.349
1,10.2366
2,10.2349
3,102.349
4,102.349
