User,Delay
1,0.000282936
2,0.000309155
3,0.000317177
4,0.000323239
5,0.000273861
6,0.000305857
1,0.000295933
2,0.000393956
3,0.000314948
4,0.000385383
5,0.00039452
6,0.000377288
1,0.000281144
2,0.000294983
3,0.000351965
4,0.242446
5,0.000272414
6,0.00028523
1,0.000379735
2,0.209777
3,0.249423
4,0.222443
5,0.000339802
6,0.000284491
1,0.000291678
2,0.000355621
3,0.259777
4,0.259414
5,0.000300679
6,0.000282286
1,0.000289729
2,0.000298989
3,0.0440435
4,0.000373414
5,0.000276101
6,0.000285272
1,0.00337357
2,0.256623
3,0.126764
4,0.27091
5,0.000465004
6,0.000361326
1,0.000291485
2,0.128991
3,0.0620387
4,0.18396
5,0.000390975
6,0.000286504
1,0.0174195
2,0.20294
3,0.00040039
4,0.138768
5,0.00228291
6,0.129513
1,0.000351427
2,0.0642956
3,0.000408473
4,0.0836585
5,0.000349701
6,0.0710621
1,0.000312366
2,0.00051246
3,0.000334477
4,0.000343217
5,0.000341832
6,0.000386204
1,0.000311698
2,0.000291833
3,0.000300886
4,0.11525
5,0.000273788
6,0.000278243
1,0.000361073
2,0.0486444
3,0.00051827
4,0.0614247
5,0.00034451
6,0.000349801
1,0.000281167
2,0.00034882
3,0.000311601
4,0.000320552
5,0.000271599
6,0.000276072
1,0.160267
2,0.289236
3,0.000407988
4,0.275515
5,0.000316167
6,0.137506
