User,EnergyConsumption
1,837.93
2,330.94
3,673.863
4,356.961
5,322.578
6,71.4651
1,1371.53
2,486.473
3,1120.85
4,82.6016
5,13.7406
6,242.182
1,292.715
2,362.597
3,542.983
4,611.652
5,261.54
6,947.638
1,1244.84
2,869.433
3,1114.47
4,914.349
5,956.834
6,840.465
1,1552.73
2,419.029
3,44.5848
4,1567.71
5,955.324
6,902.362
1,490.425
2,268.626
3,1225.95
4,832.15
5,59.8751
6,142.377
1,700.786
2,719.548
3,291.125
4,346.756
5,930.379
6,1074.74
1,1088.75
2,981.116
3,378.703
4,719.578
5,1079.83
6,444.064
1,1175.86
2,743.873
3,747.52
4,88.6899
5,841.254
6,208.222
1,1219.94
2,283.103
3,1457.63
4,704.594
5,385.547
6,392.292
1,1018.69
2,298.83
3,1685.38
4,29.1609
5,683.478
6,32.5872
1,629.062
2,496.006
3,287.131
4,18.0174
5,549.946
6,822.93
1,573.904
2,387.066
3,611.767
4,160.421
5,498.324
6,1125.24
1,198.51
2,467.795
3,1057.08
4,120.635
5,653.156
6,215.074
1,558.529
2,952.293
3,990.527
4,35.7108
5,1060.51
6,1218.07
