User,Jitter
1,2.29213e-05
2,2.62195e-05
3,8.02164e-06
4,6.06199e-06
5,0.000273743
6,3.19967e-05
1,8.13546e-05
2,9.80225e-05
3,7.90082e-05
4,7.04352e-05
5,0.000394402
6,1.72319e-05
1,4.08563e-06
2,1.38382e-05
3,5.6982e-05
4,0.242094
5,0.000272296
6,1.28156e-05
1,9.52437e-05
2,0.209397
3,0.0396461
4,0.0269798
5,0.000339684
6,5.5311e-05
1,9.39253e-06
2,6.39428e-05
3,0.259421
4,0.00036279
5,0.000300561
6,1.8393e-05
1,4.4573e-06
2,9.26022e-06
3,0.0437445
4,0.0436701
5,0.000275983
6,9.17063e-06
1,0.00301225
2,0.25325
3,0.129859
4,0.144146
5,0.000464886
6,0.000103677
1,4.98125e-06
2,0.128699
3,0.0669518
4,0.121922
5,0.000390857
6,0.000104471
1,0.112094
2,0.185521
3,0.20254
4,0.138367
5,0.00228279
6,0.12723
1,0.0707107
2,0.0639441
3,0.0638871
4,0.08325
5,0.000349583
6,0.0707124
1,7.38379e-05
2,0.000200095
3,0.000177984
4,8.74042e-06
5,0.000341714
6,4.43714e-05
1,3.34555e-05
2,1.9865e-05
3,9.05305e-06
4,0.114949
5,0.00027367
6,4.45507e-06
1,1.1272e-05
2,0.0482833
3,0.0481261
4,0.0609064
5,0.000344392
6,5.29033e-06
1,5.09516e-06
2,6.76521e-05
3,3.72189e-05
4,8.95182e-06
5,0.000271481
6,4.47293e-06
1,0.0227607
2,0.128969
3,0.288828
4,0.275107
5,0.000316049
6,0.13719
