User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.000282936,10.2366,837.93,2,2.29213e-05
2,0.000309155,102.349,330.94,3,2.62195e-05
3,0.000317177,102.349,673.863,3,8.02164e-06
4,0.000323239,102.349,356.961,3,6.06199e-06
5,0.000273861,10.2366,322.578,2,0.000273743
6,0.000305857,10.2366,71.4651,2,3.19967e-05
1,0.000295933,10.2349,1371.53,3,8.13546e-05
2,0.000393956,102.332,486.473,4,9.80225e-05
3,0.000314948,102.349,1120.85,3,7.90082e-05
4,0.000385383,102.349,82.6016,3,7.04352e-05
5,0.00039452,10.2332,13.7406,4,0.000394402
6,0.000377288,10.2332,242.182,4,1.72319e-05
1,0.000281144,10.2366,292.715,2,4.08563e-06
2,0.000294983,102.349,362.597,3,1.38382e-05
3,0.000351965,102.349,542.983,3,5.6982e-05
4,0.242446,19.6608,611.652,4848,0.242094
5,0.000272414,10.2366,261.54,2,0.000272296
6,0.00028523,10.2366,947.638,2,1.28156e-05
1,0.000379735,10.2332,1244.84,4,9.52437e-05
2,0.209777,30.976,869.433,4185,0.209397
3,0.249423,17.4251,1114.47,4979,0.0396461
4,0.222443,26.6411,914.349,4439,0.0269798
5,0.000339802,10.2349,956.834,3,0.000339684
6,0.000284491,10.2366,840.465,2,5.5311e-05
1,0.000291678,10.2349,1552.73,3,9.39253e-06
2,0.000355621,102.349,419.029,3,6.39428e-05
3,0.259777,14.3531,44.5848,5159,0.259421
4,0.259414,14.4896,1567.71,5151,0.00036279
5,0.000300679,10.2298,955.324,6,0.000300561
6,0.000282286,10.2349,902.362,3,1.8393e-05
1,0.000289729,10.2366,490.425,2,4.4573e-06
2,0.000298989,102.349,268.626,3,9.26022e-06
3,0.0440435,87.8421,1225.95,853,0.0437445
4,0.000373414,102.349,832.15,3,0.0436701
5,0.000276101,10.2366,59.8751,2,0.000275983
6,0.000285272,10.2366,142.377,2,9.17063e-06
1,0.00337357,10.1581,700.786,48,0.00301225
2,0.256623,14.9333,719.548,5125,0.25325
3,0.126764,59.4261,291.125,2518,0.129859
4,0.27091,10.7008,346.756,5373,0.144146
5,0.000465004,10.2349,930.379,3,0.000464886
6,0.000361326,10.2366,1074.74,2,0.000103677
1,0.000291485,10.2366,1088.75,2,4.98125e-06
2,0.128991,58.624,981.116,2565,0.128699
3,0.0620387,81.4763,378.703,1226,0.0669518
4,0.18396,39.9019,719.578,3662,0.121922
5,0.000390975,10.2366,1079.83,2,0.000390857
6,0.000286504,10.2366,444.064,2,0.000104471
1,0.0174195,9.78773,1175.86,265,0.112094
2,0.20294,33.5189,743.873,4036,0.185521
3,0.00040039,102.332,747.52,4,0.20254
4,0.138768,54.9205,88.6899,2782,0.138367
5,0.00228291,10.2246,841.254,9,0.00228279
6,0.129513,5.86581,208.222,2563,0.12723
1,0.000351427,10.2349,1219.94,3,0.0707107
2,0.0642956,79.7525,283.103,1327,0.0639441
3,0.000408473,102.349,1457.63,3,0.0638871
4,0.0836585,73.4891,704.594,1694,0.08325
5,0.000349701,10.2366,385.547,2,0.000349583
6,0.0710621,7.73803,392.292,1466,0.0707124
1,0.000312366,10.2349,1018.69,3,7.38379e-05
2,0.00051246,102.315,298.83,5,0.000200095
3,0.000334477,102.349,1685.38,3,0.000177984
4,0.000343217,102.349,29.1609,3,8.74042e-06
5,0.000341832,10.2349,683.478,3,0.000341714
6,0.000386204,10.2349,32.5872,3,4.43714e-05
1,0.000311698,10.2366,629.062,2,3.34555e-05
2,0.000291833,102.349,496.006,3,1.9865e-05
3,0.000300886,102.349,287.131,3,9.05305e-06
4,0.11525,63.0443,18.0174,2306,0.114949
5,0.000273788,10.2366,549.946,2,0.00027367
6,0.000278243,10.2366,822.93,2,4.45507e-06
1,0.000361073,10.2332,573.904,4,1.1272e-05
2,0.0486444,86.016,387.066,960,0.0482833
3,0.00051827,102.332,611.767,4,0.0481261
4,0.0614247,80.5205,160.421,1282,0.0609064
5,0.00034451,10.2332,498.324,4,0.000344392
6,0.000349801,10.2332,1125.24,4,5.29033e-06
1,0.000281167,10.2366,198.51,2,5.09516e-06
2,0.00034882,102.349,467.795,3,6.76521e-05
3,0.000311601,102.349,1057.08,3,3.72189e-05
4,0.000320552,102.349,120.635,3,8.95182e-06
5,0.000271599,10.2366,653.156,2,0.000271481
6,0.000276072,10.2366,215.074,2,4.47293e-06
1,0.160267,4.74283,558.529,3221,0.0227607
2,0.289236,3.31093,952.293,5806,0.128969
3,0.000407988,102.332,990.527,4,0.288828
4,0.275515,8.26027,35.7108,5516,0.275107
5,0.000316167,10.2366,1060.51,2,0.000316049
6,0.137506,5.58592,1218.07,2727,0.13719
