User,Throughput
1,10.2366
2,102.349
3,102.349
4,102.349
5,10.2366
6,10.2366
1,10.2349
2,102.332
3,102.349
4,102.349
5,10.2332
6,10.2332
1,10.2366
2,102.349
3,102.349
4,19.6608
5,10.2366
6,10.2366
1,10.2332
2,30.976
3,17.4251
4,26.6411
5,10.2349
6,10.2366
1,10.2349
2,102.349
3,14.3531
4,14.4896
5,10.2298
6,10.2349
1,10.2366
2,102.349
3,87.8421
4,102.349
5,10.2366
6,10.2366
1,10.1581
2,14.9333
3,59.4261
4,10.7008
5,10.2349
6,10.2366
1,10.2366
2,58.624
3,81.4763
4,39.9019
5,10.2366
6,10.2366
1,9.78773
2,33.5189
3,102.332
4,54.9205
5,10.2246
6,5.86581
1,10.2349
2,79.7525
3,102.349
4,73.4891
5,10.2366
6,7.73803
1,10.2349
2,102.315
3,102.349
4,102.349
5,10.2349
6,10.2349
1,10.2366
2,102.349
3,102.349
4,63.0443
5,10.2366
6,10.2366
1,10.2332
2,86.016
3,102.332
4,80.5205
5,10.2332
6,10.2332
1,10.2366
2,102.349
3,102.349
4,102.349
5,10.2366
6,10.2366
1,4.74283
2,3.31093
3,102.332
4,8.26027
5,10.2366
6,5.58592
