User,Delay
1,0.000301775
2,0.000334736
3,0.146268
4,0.172639
5,0.00046991
6,0.000297309
1,0.000417733
2,0.228621
3,0.0914333
4,0.000770518
5,0.000327253
6,0.00033469
1,0.000281294
2,0.00029035
3,0.192798
4,0.000321489
5,0.000272312
6,0.000285931
1,0.000280483
2,0.198547
3,0.00030741
4,0.0597998
5,0.000271552
6,0.000276017
1,0.000344669
2,0.000374246
3,0.000394273
4,0.008969
5,0.00815917
6,0.000352341
1,0.000514167
2,0.160232
3,0.000348301
4,0.0555149
5,0.000297149
6,0.000309995
1,0.000330631
2,0.218162
3,0.220561
4,0.000732997
5,0.000309612
6,0.000351542
1,0.000329042
2,0.000358185
3,0.000311388
4,0.000320389
5,0.000271547
6,0.000280486
1,0.000390699
2,0.181107
3,0.00864332
4,0.204697
5,0.000280383
6,0.000289807
1,0.000347869
2,0.179005
3,0.000311659
4,0.230702
5,0.000318198
6,0.000282631
1,0.000292433
2,0.222777
3,0.00284892
4,0.00033813
5,0.000283911
6,0.000287968
1,0.000293499
2,0.000310295
3,0.124589
4,0.000321994
5,0.000374032
6,0.000286039
1,0.00102227
2,0.201844
3,0.000365546
4,0.280232
5,0.000348026
6,0.0003715
1,0.000374317
2,0.126938
3,0.232644
4,0.256002
5,0.0209498
6,0.00038781
1,0.000284983
2,0.058332
3,0.00030739
4,0.0613245
5,0.000271591
6,0.000276289
