User,EnergyConsumption
1,1120.78
2,292.987
3,701.09
4,658.046
5,694.551
6,704.46
1,1071.06
2,1045.29
3,667.183
4,722.482
5,1305.45
6,601.115
1,953.899
2,880.906
3,113.033
4,1033.49
5,1030.04
6,5.83613
1,947.727
2,1178.72
3,282.855
4,222.137
5,198.175
6,261.722
1,1495.73
2,23.3332
3,337.581
4,610.227
5,420.907
6,1024.22
1,327.77
2,1191.74
3,744.692
4,107.369
5,1090.94
6,442.474
1,0.833153
2,616.973
3,873.583
4,823.108
5,752.685
6,258.797
1,70.9994
2,854.961
3,985.574
4,617.782
5,607.973
6,137.064
1,394.784
2,1614.03
3,1357.21
4,623.299
5,717.415
6,1049.7
1,1073.73
2,768.593
3,1049.95
4,1093.81
5,970.55
6,1236.51
1,671.896
2,665.36
3,1770.57
4,874.821
5,1592.88
6,1212.86
1,1645.47
2,470.864
3,773.757
4,1159.85
5,624.118
6,797.609
1,1365.37
2,824.973
3,617.76
4,807.561
5,1401.89
6,1616.69
1,1423.36
2,432.275
3,534.363
4,1020.23
5,214.374
6,865.769
1,732.546
2,420.873
3,594.514
4,270.924
5,1165.79
6,984.26
